precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMUŢA DANIEL-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","RUS IRINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BLIDIŞEL IOAN-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","HORVATH ALIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"BIBLIOTECA ORAȘULUI SÂNTANA",165,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:21:06",1012,1005,0,4,3,276,269,0,4,3,262,14,1114,838,180,30,44,8
2,ARAD,"CĂMIN CULTURAL SATU NOU",166,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:07:54",1077,1068,0,5,4,549,540,0,5,4,538,11,1180,631,353,94,63,28
2,ARAD,"CĂMINUL CULTURAL CAPORAL ALEXA",168,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:41",1199,1188,1,3,7,578,568,0,3,7,559,19,1315,737,297,146,86,30
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 SÂNTANA (CU 8 SĂLI DE GRUPĂ) - SALĂ MULTIFUNCȚIONALĂ",159,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:18:35",1292,1282,2,8,0,442,432,2,8,0,425,5,1420,990,209,137,65,14
2,ARAD,"GRĂDINIȚA PP NR. 1 SÂNTANA",167,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:42",922,916,0,5,1,427,421,0,5,1,412,15,1010,583,268,68,54,22
2,ARAD,"GRĂDINIȚA PP NR. 2 SÂNTANA",164,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:02",1666,1653,1,8,4,364,352,0,8,4,327,37,1830,1466,215,49,52,11
2,ARAD,"GRĂDINIȚA PP NR. 2 SÂNTANA",163,"ORAŞ SÂNTANA",12091,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:29",1323,1312,1,6,4,502,491,1,6,4,485,17,1460,958,259,110,90,26
2,ARAD,"LICEUL TEHNOLOGIC STEFAN HELL SÂNTANA",160,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:57:57",1694,1678,7,7,2,594,585,0,7,2,582,12,1850,1256,296,128,124,34
2,ARAD,"ȘCOALA GIMNAZIALĂ SÂNTANA",162,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:15:18",1463,1455,0,5,3,555,547,0,5,3,537,18,1610,1055,317,116,90,14
2,ARAD,"ȘCOALA GIMNAZIALĂ ”SFÂNTA ANA” SÂNTANA",161,"ORAŞ SÂNTANA",12091,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:10",1049,1040,1,8,0,330,322,0,8,0,318,12,1150,820,174,58,65,21
