precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRUYNSEELS RAMONA-IOANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TUŢĂ GEORGE-CRISTIAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","HATMANU IULIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","GHIDĂNAC FLORIN-BLOCUL SUVERANIST ROMÂN-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGOIŢĂ GHEORGHE-LIVIU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PODARU DAN-NICULAE-PARTIDUL ECOLOGIST ROMÂN-voturi","ANDREI FLORIN-MIRCEA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","TUDORACHE DANIEL-voturi"
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",166,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 19:20:35",2070,2024,34,11,1,1085,1072,1,11,1,1066,16,2289,1204,33,567,45,2,282,62,15,8,52
44,"Sector 1","ACADEMIA DE POLIȚIE ”ALEXANDRU IOAN CUZA”",165,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-13 00:40:09",2165,2031,105,29,0,1098,1069,0,29,0,1084,14,2360,1262,35,458,49,0,404,76,11,5,46
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",69,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:55:29",593,571,11,10,1,246,235,0,10,1,242,4,660,414,24,79,9,1,76,24,0,6,23
44,"Sector 1","ACADEMIA DE STUDII ECONOMICE DIN BUCUREŞTI",68,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:55:56",960,888,55,16,1,341,323,1,16,1,331,10,1030,689,24,125,10,2,118,28,8,2,14
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",89,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:08:28",1179,1156,14,9,0,539,530,0,9,0,526,13,1280,741,34,200,23,2,160,37,6,4,60
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",88,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:45:43",1555,1523,13,18,1,768,748,1,18,1,752,16,1700,932,53,217,26,3,317,61,12,13,50
44,"Sector 1","CENTRUL NAŢIONAL DE CALIFICARE ŞI INSTRUIRE FEROVIARĂ CENAFER",90,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:03:23",1413,1369,37,7,0,677,670,0,7,0,659,18,1550,23,39,256,23,4,222,43,7,9,56
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",30,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:44:00",1962,1908,48,6,0,1041,1035,0,6,0,1025,16,2150,1109,48,313,33,2,481,64,9,18,57
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",29,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:50:19",2037,1918,105,14,0,909,895,0,14,0,885,24,2220,290,41,298,38,3,354,73,10,4,64
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",28,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 15:56:30",2029,1967,48,13,1,958,943,1,13,1,939,19,2210,1252,69,313,19,2,343,83,12,9,89
44,"Sector 1","CLUBUL SPORTIV ŞCOLAR NR.5",110,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:00:49",935,897,33,5,0,333,328,0,5,0,325,0,1040,709,25,114,10,1,97,37,1,2,38
44,"Sector 1","CLUBUL SPORTIV ŞCOLAR NR.5",109,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:01:30",939,934,0,5,0,374,369,0,5,0,364,10,1030,656,28,138,8,1,101,27,10,7,44
44,"Sector 1","COLEGIUL ECONOMIC ”V. MADGEARU”",66,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:33:08",1030,988,33,9,0,457,445,3,9,0,448,9,1120,663,37,156,16,1,178,38,10,2,10
44,"Sector 1","COLEGIUL ECONOMIC ”V. MADGEARU”",67,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:56:45",1061,990,54,14,3,453,432,4,14,3,432,11,1130,677,30,143,21,1,164,31,10,9,23
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",101,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:05:54",750,722,22,6,0,341,335,0,6,0,338,3,840,499,20,126,17,0,126,22,4,5,18
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",100,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:05:44",915,865,41,8,1,434,425,0,8,1,426,8,1000,566,22,151,9,1,183,31,5,6,18
44,"Sector 1","COLEGIUL GERMAN ”GOETHE”",102,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:17:41",882,858,20,4,0,421,416,1,4,0,408,13,980,559,26,156,9,1,155,37,6,3,15
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",133,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:25:08",850,842,3,4,1,420,415,0,4,1,407,13,940,520,39,160,6,3,145,19,4,6,25
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",132,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:59:56",1193,1179,7,7,0,647,640,0,7,0,637,10,1308,661,49,233,18,1,238,33,6,15,44
44,"Sector 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",131,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:20:16",1693,1655,25,11,2,916,901,2,11,2,908,8,1850,933,50,276,28,1,429,69,10,4,41
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",57,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:07:38",1190,1100,73,13,4,583,565,1,13,4,574,9,1280,697,34,207,27,0,234,33,8,4,27
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",59,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:17:16",1087,1071,0,13,3,533,517,0,13,3,519,14,1230,697,24,179,20,1,204,40,7,6,38
44,"Sector 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",58,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:21:05",1318,1286,11,21,0,756,735,0,21,0,743,13,1440,684,36,243,21,1,344,42,13,6,37
44,"Sector 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",74,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:09:41",1073,1011,31,30,1,508,478,2,27,1,495,10,1139,634,38,180,16,0,175,38,5,15,28
44,"Sector 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",75,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:12:49",1265,1172,86,7,0,434,426,1,7,0,428,6,1342,908,34,122,16,1,184,34,7,1,29
44,"Sector 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",61,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 21:34:14",1098,1073,9,16,0,564,548,0,16,0,553,11,1300,736,30,211,17,2,223,35,8,6,21
44,"Sector 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",60,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:57:12",909,856,36,13,4,402,383,2,13,4,386,16,980,578,20,157,8,0,141,27,5,11,17
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",116,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:06:18",1409,1378,18,13,0,704,691,0,13,0,690,14,1540,836,33,275,17,2,290,29,8,9,27
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",118,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:01:19",1731,1661,47,23,0,879,854,2,23,0,827,27,1893,1016,48,267,29,1,346,56,9,20,51
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",117,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:49:49",1377,1342,22,13,0,632,619,0,13,0,612,20,1510,878,40,221,21,1,256,22,5,15,31
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",119,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:14:16",1458,1437,15,3,3,724,718,0,3,3,706,12,1608,890,41,242,11,0,289,48,9,5,61
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",120,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:21:56",1458,1393,57,8,0,625,617,0,8,0,609,16,1590,965,43,216,21,1,207,48,4,11,58
44,"Sector 1","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",79,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:33:46",1003,919,66,18,0,404,385,1,18,0,395,8,1080,676,24,154,8,2,157,22,6,6,16
44,"Sector 1","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",77,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:33:14",781,738,37,6,0,316,308,2,6,0,309,7,850,534,15,112,18,0,122,23,5,2,12
44,"Sector 1","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",80,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:41:31",1180,1073,98,8,1,465,457,0,7,1,457,8,1230,765,24,145,14,1,205,35,6,7,20
44,"Sector 1","COLEGIUL NAŢIONAL ”SFÂNTUL SAVA”",78,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 17:58:43",948,872,68,7,1,353,344,1,7,1,339,14,1030,676,16,128,13,0,145,19,6,4,8
44,"Sector 1","COLEGIUL TEHNIC DE ARHITECTURĂ ŞI LUCRĂRI PUBLICE ”IOAN N. SOCOLESCU”",76,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:24:50",979,878,90,11,0,406,395,0,11,0,401,5,1030,624,34,134,12,0,146,32,7,11,25
44,"Sector 1","COLEGIUL TEHNIC FEROVIAR ”MIHAI I”",137,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 13:45:49",1188,1182,1,5,0,489,484,0,5,0,471,18,1300,811,68,157,9,1,103,45,11,2,75
44,"Sector 1","COLEGIUL TEHNIC FEROVIAR ”MIHAI I”",138,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:44:06",1123,1119,0,4,0,448,444,0,4,0,442,6,1250,802,48,171,6,2,98,51,6,2,58
44,"Sector 1","COLEGIUL TEHNIC ” VALTER MĂRĂCINEANU”",135,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:30:33",1371,1360,4,7,0,611,603,1,7,0,600,11,1529,918,43,220,9,4,202,55,4,4,59
44,"Sector 1","COLEGIUL TEHNIC ” VALTER MĂRĂCINEANU”",136,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:58:42",1185,1161,12,10,2,552,540,0,10,2,541,9,1290,740,47,216,19,1,152,28,4,8,66
44,"Sector 1","COLEGIUL TEHNIC ” VALTER MĂRĂCINEANU”",134,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:05:02",1123,1091,23,9,0,487,478,0,9,0,480,7,1220,733,36,169,11,1,155,39,3,10,56
44,"Sector 1","COLEGIUL TEHNOLOGIC ”VIACESLAV HARNAJ”",40,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:53:46",1678,1667,0,11,0,778,767,0,11,0,762,16,2030,1251,30,338,23,0,261,70,9,6,25
44,"Sector 1","COLEGIUL TEHNOLOGIC ”VIACESLAV HARNAJ”",39,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:26:01",1589,1543,34,12,0,730,718,0,12,0,717,13,1730,1000,47,267,26,1,253,52,12,15,44
44,"Sector 1","COLEGIUL TEHNOLOGIC ”VIACESLAV HARNAJ”",41,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:55:05",1363,1315,31,16,1,690,671,2,16,1,681,8,1480,791,44,273,8,4,244,57,8,12,31
44,"Sector 1","COMPLEXUL SOCIAL DE SERVICII ”ODĂI”",56,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-12 17:39:14",752,727,0,14,11,401,376,0,14,11,381,18,800,401,31,170,2,2,38,36,5,1,96
44,"Sector 1","DIRECŢIA PUBLICĂ DE EVIDENŢĂ A PERSOANEI ŞI STARE CIVILĂ SECT.1",35,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:41:39",1200,1134,40,16,10,595,569,0,16,10,587,6,1270,675,47,200,13,1,262,21,9,4,30
44,"Sector 1","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",87,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 13:22:01",1361,1317,36,7,1,733,724,1,7,1,657,10,1482,812,34,242,28,0,261,43,7,7,35
44,"Sector 1","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",86,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 12:24:35",1233,1204,25,4,0,576,572,0,4,0,569,6,1340,764,45,220,17,1,189,49,6,12,30
44,"Sector 1","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",83,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:38:54",720,694,19,7,0,313,306,0,7,0,303,10,780,467,15,110,16,0,110,32,6,1,13
44,"Sector 1","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",85,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 13:05:15",1029,1010,19,0,0,499,499,0,0,0,490,9,1130,631,28,143,12,0,234,45,2,0,26
44,"Sector 1","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",84,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:20:56",724,704,10,10,0,342,332,0,10,0,337,5,780,438,28,102,15,1,135,24,6,2,24
