precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGOIŢĂ ROBERT SORIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","NIŢĂ ALEXANDRU-MARCO-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEGRILĂ VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE DANIEL-PAUL-ROMEO-PARTIDUL S.O.S. ROMÂNIA-voturi","JUDELE ŞTEFAN-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CICEALĂ ANA-MARIA-voturi"
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",391,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:08:34",1169,1152,13,3,1,519,515,0,3,1,508,11,1269,750,256,19,11,8,128,86
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",392,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:14:49",1605,1570,18,17,0,633,616,0,17,0,620,13,1741,1108,335,32,10,14,152,77
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",390,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-12 09:27:11",1343,1324,14,5,0,584,579,0,5,0,579,5,1454,863,293,32,9,21,138,86
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",388,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:12:32",1436,1402,30,4,0,590,585,1,4,0,573,17,1600,1010,300,37,19,24,127,66
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",393,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:17:14",1166,1129,22,15,0,427,412,0,15,0,415,12,1252,825,197,27,13,7,90,81
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",389,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:57:05",1047,1033,3,11,0,483,472,0,11,0,475,8,1135,652,239,35,5,13,98,85
46,"Sector 3","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.5;",387,"BUCUREŞTI SECTORUL 3",179169,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:13:49",1396,1324,54,18,0,629,609,2,18,0,618,11,1460,831,333,36,14,14,139,82
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",372,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-12 17:35:11",1198,1172,19,7,0,329,322,0,7,0,310,15,1304,979,135,20,18,13,71,53
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",370,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:23:13",727,680,41,5,1,175,168,1,5,1,162,6,800,632,82,13,7,4,37,19
46,"Sector 3","COLEGIUL ECONOMIC ”NICOLAE KRETZULESCU”;",371,"BUCUREŞTI SECTORUL 3",179169,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:18:20",844,709,118,1,16,262,245,0,1,16,260,2,783,518,134,26,13,8,45,34
