precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIUCU CIPRIAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","IAGĂR MONICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TULUGEA DANIL-PARTIDUL S.O.S. ROMÂNIA-voturi","BORDIANU CRISTINA-ANNE-MARIE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","LICXANDRU VALENTIN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","GÂDIUŢĂ ALEXANDRU-VALERIU-DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI-voturi","OPREA CONSTANTIN-PARTIDUL ROMÂNIA MARE-voturi","ŞTEFAN MIHAELA-ANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PINTILEASA BOGDAN-GABRIEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FLOREA VALENTIN-voturi"
49,"Sector 6","A.D.P.D.U. SECTOR 6",1077,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:15:59",1166,1074,83,9,0,523,513,1,9,0,510,13,1100,577,381,31,6,14,0,3,2,64,2,7
49,"Sector 6","CENTRUL EUROPEAN SECTOR 6",1173,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:32:12",1316,1307,4,5,0,628,623,0,5,0,615,13,1300,672,438,49,11,10,1,4,8,67,10,17
49,"Sector 6","CLUBUL SENIORILOR MIHAI EMINESCU",1289,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:37:36",951,937,0,12,2,438,424,0,12,2,424,14,900,462,268,23,5,15,1,2,2,93,8,7
49,"Sector 6","CLUBUL SPORTIV SCOLAR NR. 5",1244,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:57:45",1522,1449,34,38,1,755,715,1,38,1,750,5,1396,641,480,26,3,32,4,5,2,178,8,12
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1111,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:11:34",1037,1023,4,10,0,521,511,0,10,0,510,11,1000,479,373,32,7,12,0,2,3,61,11,9
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1110,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:04:00",1171,1163,2,6,0,575,569,0,6,0,564,11,1200,625,440,31,9,6,2,6,5,51,9,5
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1113,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:53:38",913,904,3,6,0,390,384,0,6,0,388,2,900,510,287,28,8,12,0,1,3,41,4,4
49,"Sector 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1112,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:00:46",1055,1047,0,8,0,540,532,0,8,0,534,6,1100,560,417,28,6,9,2,3,7,49,6,7
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1083,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:21:57",1946,1873,43,30,0,1140,1110,0,30,0,980,5,1900,915,804,24,5,13,2,2,3,123,1,3
49,"Sector 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1082,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:25:57",1509,1496,6,7,0,638,631,0,7,0,621,10,1500,859,430,34,11,14,0,2,6,106,11,7
