precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN DANIEL-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANCEA VALENTIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","ICHIM IULIAN-GABRIEL-ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","SECHELARIU SERGIU-PARTIDUL VERDE-voturi","STANCIU-VIZITEU LUCIAN-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BRĂILA ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MANOLACHE CRISTINEL-PARTIDUL ECOLOGIST ROMÂN-voturi","GHINGHEŞ CRISTIAN-PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","GĂZDARU ADRIAN-voturi","CHIRILESCU DORIN-voturi"
4,BACĂU,"ADMINISTRAȚIA FINANȚELOR PUBLICE BACĂU",21,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:02",953,942,1,10,0,381,371,0,10,0,370,11,1000,619,16,94,2,43,151,8,22,16,5,13
4,BACĂU,"BAZINUL OLIMPIC BACĂU",103,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:44",1533,1525,0,8,0,233,225,0,8,0,226,7,1700,1467,13,50,3,23,68,2,55,8,1,3
4,BACĂU,"BAZINUL OLIMPIC BACĂU",102,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:40",1785,1778,0,7,0,348,341,0,7,0,335,13,2000,1652,19,66,1,34,107,9,84,12,0,3
4,BACĂU,"CASA NATIONALA DE ASIGURĂRI DE SĂNĂTATE BACĂU",104,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:43:56",1693,1686,2,5,0,303,298,0,5,0,296,7,1904,1601,24,92,3,25,95,3,28,19,4,3
4,BACĂU,"CASA NATIONALĂ DE ASIGURĂRI DE SĂNĂTATE BACĂU",105,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:57",1241,1234,2,5,0,267,262,0,5,0,262,5,1400,1133,14,70,3,29,82,11,27,14,8,4
4,BACĂU,"CENTRUL DE ZI ”CLUBUL PENSIONARILOR” BACĂU",106,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:04:08",1350,1253,0,32,65,588,491,0,32,65,571,17,1408,813,34,186,5,51,164,20,78,24,5,4
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",70,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:58",1508,1505,3,0,0,548,548,0,0,0,526,22,1700,1152,20,149,9,65,162,10,73,19,7,12
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",69,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:22:15",1727,1718,1,8,0,634,626,0,8,0,629,5,1900,1255,25,148,6,50,232,17,107,30,7,7
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",71,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:12:04",1604,1597,0,6,1,579,572,0,6,1,560,19,1800,1221,30,135,1,70,186,18,86,24,5,5
4,BACĂU,"COLEGIUL ECONOMIC ”ION GHICA”",119,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:16",1248,1234,7,5,2,603,596,0,5,2,593,10,1400,797,21,149,5,47,264,8,31,49,8,11
4,BACĂU,"COLEGIUL ECONOMIC ”ION GHICA”",120,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:58",1011,1002,2,7,0,310,303,0,7,0,299,11,1100,790,29,51,0,47,96,12,34,19,8,3
4,BACĂU,"COLEGIUL ”MIHAI EMINESCU”",44,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:10",1274,1247,2,16,9,439,422,1,7,9,430,9,1400,952,36,113,8,44,143,14,5,41,24,2
4,BACĂU,"COLEGIUL ”MIHAI EMINESCU”",43,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:31",1021,1014,2,5,0,412,406,1,5,0,393,19,1100,688,21,130,8,56,114,7,27,16,4,10
4,BACĂU,"COLEGIUL NAȚIONAL DE ARTĂ ”GEORGE APOSTU”",49,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:26",691,678,6,6,1,283,276,0,6,1,273,10,800,517,17,81,3,28,88,8,19,19,4,6
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",26,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:34",919,911,0,8,0,374,366,0,8,0,362,12,1000,626,24,90,9,32,137,10,26,21,8,5
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",27,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:11",1451,1440,6,5,0,554,549,0,5,0,544,10,1600,1046,14,160,0,65,205,5,53,21,7,14
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",25,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:45",1074,1064,1,9,0,434,425,0,9,0,423,10,1200,766,17,109,0,63,164,7,24,15,10,14
4,BACĂU,"COLEGIUL NAȚIONAL ”FERDINAND I”",28,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:20",1161,1154,1,6,0,464,458,0,6,0,455,9,1312,848,29,109,2,50,186,11,32,19,7,10
4,BACĂU,"COLEGIUL NAȚIONAL ”FERDINAND I”",29,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:08",1497,1491,0,6,0,646,640,0,6,0,627,19,1700,1054,27,200,10,75,208,17,36,35,6,13
4,BACĂU,"COLEGIUL NAŢIONAL ”GHEORGHE VRÂNCEANU”",22,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:31",1368,1356,2,10,0,656,646,0,10,0,638,18,1507,851,27,136,2,57,313,17,36,30,6,14
4,BACĂU,"COLEGIUL NAŢIONAL ”GHEORGHE VRÂNCEANU”",23,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:01:40",1201,1194,2,5,0,475,470,0,5,0,460,15,1300,825,11,106,2,36,201,11,38,20,9,26
