precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VIERU VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","AILIOAIE CRISTIAN-FELEX-UNIUNEA SALVAȚI ROMÂNIA-voturi","MILEA COSMIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUSUIOC IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VLAD GEORGE-CĂTĂLIN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PASCALINI NINI-ALEXANDRU-PARTIDUL S.O.S. ROMÂNIA-voturi"
4,BACĂU,"BIBLIOTECA MUNICIPALĂ ” PROFESOR CONSTANTIN LOVIN”",131,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:26",1141,1136,1,4,0,494,489,1,4,0,478,16,1300,806,268,31,23,85,32,39
4,BACĂU,"CLUBUL ELEVILOR",135,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:54:13",1263,1225,0,11,27,543,505,0,11,27,526,17,1400,857,218,16,37,165,18,72
4,BACĂU,"FOSTA ȘCOALĂ DE ARTE ȘI MESERII",138,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:03",1168,1161,0,6,1,519,512,0,6,1,503,16,1300,781,331,10,22,57,15,68
4,BACĂU,"FOSTA ȘCOALĂ NR.8",142,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:04:43",997,992,1,4,0,446,441,1,4,0,416,29,1100,655,207,12,43,100,12,42
4,BACĂU,"LICEUL ”SPIRU HARET”",126,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:40:41",838,805,1,9,23,380,348,0,9,23,366,14,900,520,201,15,20,84,3,43
4,BACĂU,"LICEUL ”SPIRU HARET”",127,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:17:03",960,951,2,7,0,426,419,0,7,0,398,28,1100,674,205,17,20,83,21,52
4,BACĂU,"SALA DE SPORT A LICEULUI ”SPIRU HARET”",128,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:45:34",1162,1153,0,7,2,544,535,0,7,2,533,11,1300,756,298,35,25,116,14,45
4,BACĂU,"ŞCOALA ”ALEXANDRU SEVER”",139,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:27:49",635,625,0,8,2,312,302,0,8,2,300,12,700,388,182,6,17,37,1,57
4,BACĂU,"ŞCOALA ”ALEXANDRU SEVER”",141,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:05",1120,1111,0,4,5,525,516,0,4,5,496,29,1200,675,316,11,30,56,20,63
4,BACĂU,"ŞCOALA ”ALEXANDRU SEVER”",140,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:22:12",1069,1053,1,9,6,527,512,0,9,6,496,31,1200,673,249,11,24,113,12,87
4,BACĂU,"ŞCOALA GEORGE ENESCU",132,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:26",1594,1585,2,6,1,604,597,0,6,1,557,47,1600,996,313,12,22,120,30,60
4,BACĂU,"ŞCOALA GEORGE ENESCU",134,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:43:22",1132,1127,1,4,0,497,493,0,4,0,481,16,1300,803,315,16,22,62,16,50
4,BACĂU,"ŞCOALA GEORGE ENESCU",133,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:47",1280,1273,1,6,0,495,489,0,6,0,457,38,1400,905,232,14,26,96,17,72
4,BACĂU,"ŞCOALA ”ŞTEFAN LUCHIAN”",129,"MUNICIPIUL MOINEŞTI",20876,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:05",1150,1143,1,6,0,506,500,0,6,0,485,21,1300,794,293,24,26,95,10,37
4,BACĂU,"ŞCOALA „ŞTEFAN LUCHIAN”",130,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:34:34",1127,1117,0,10,0,534,524,0,10,0,517,17,1200,666,296,17,32,107,17,48
4,BACĂU,"ŞCOALA TRISTAN TZARA",137,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:45:12",1250,1246,4,0,0,508,508,0,0,0,491,17,1400,892,203,12,22,174,11,69
4,BACĂU,"ŞCOALA TRISTAN TZARA",136,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:26:50",1206,1164,5,3,34,515,477,1,3,34,487,28,1300,785,195,18,15,183,16,60
