precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SILEGEANU CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI COSMIN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLUTUR CĂTĂLIN-MUGUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","CURELARIU RALUCA-ŞTEFANIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DĂSCĂLESCU REMUS-IOAN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","JURGIU IONEL-MARIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","STOICIUC MIHAELA-VIORICA-voturi"
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",59,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:58:59",1210,1200,0,10,0,537,527,0,10,0,524,13,1300,761,34,303,131,22,6,13,15
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",57,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:56",931,924,0,7,0,363,356,0,7,0,353,10,1000,637,22,215,79,13,6,8,10
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",58,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:57",1465,1457,2,6,0,745,739,0,6,0,733,12,1600,855,47,444,164,37,10,16,15
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",64,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:59",1267,1230,28,8,1,551,542,0,8,1,533,18,1400,849,23,284,153,36,3,14,20
7,BOTOŞANI,"COLEGIUL NAŢIONAL „A.T. LAURIAN”",65,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:32:02",1237,1227,0,10,0,516,506,0,10,0,494,12,1400,894,30,317,90,22,5,14,16
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",18,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:03",1265,1256,1,8,0,480,472,0,8,0,464,16,1400,920,27,283,109,19,3,7,16
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",19,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:56",1026,1019,0,7,0,455,448,0,7,0,443,12,1100,645,25,262,120,18,2,5,11
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",20,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:25:48",1430,1420,0,10,0,642,632,0,10,0,618,24,1600,957,14,394,150,33,5,8,14
7,BOTOŞANI,"COLEGIUL NAŢIONAL „MIHAI EMINESCU”",21,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:09",1096,1089,0,7,0,447,440,0,7,0,441,6,1200,753,29,281,100,11,2,4,14
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",29,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:35",1028,1016,6,6,0,394,388,0,6,0,381,13,1100,706,38,223,76,20,8,10,6
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",28,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:14",1190,1178,3,9,0,434,425,0,9,0,418,16,1299,865,33,206,126,17,4,17,15
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",27,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:01",938,927,0,11,0,396,385,0,11,0,383,13,998,602,32,248,63,16,3,10,11
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",30,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:39:17",780,774,1,5,0,331,326,0,5,0,322,9,900,569,26,191,64,19,11,5,6
7,BOTOŞANI,"COLEGIUL TEHNIC „GHEORGHE ASACHI”",26,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:21:11",637,626,0,7,4,257,246,0,7,4,251,6,697,440,10,149,59,13,5,7,8
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",22,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:20",917,910,0,7,0,361,354,0,7,0,354,7,1000,639,27,218,79,10,1,12,7
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",23,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:29",850,842,1,7,0,325,318,0,7,0,320,5,1000,675,15,197,75,19,2,7,5
7,BOTOŞANI,"COLEGIUL TEHNIC ”GHEORGHE ASACHI” BOTOȘANI",24,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:33",1227,1218,0,8,1,483,474,0,8,1,466,17,1400,917,26,277,106,29,15,6,7
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",4,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:59",1451,1440,2,8,1,600,591,0,8,1,586,14,1600,1000,22,337,176,16,8,7,20
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL „FLOARE DE COLȚ”",5,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:45:56",1338,1327,0,10,1,596,585,0,10,1,582,14,1499,903,35,322,166,26,11,16,6
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 16",82,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:00",987,980,2,5,0,456,449,2,5,0,441,15,1115,659,22,229,140,13,20,10,7
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 8",81,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:06:14",1581,1571,3,7,0,669,662,0,7,0,659,10,1700,1031,74,385,149,17,6,15,13
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",9,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:04",1023,1012,1,10,0,408,398,0,10,0,398,10,1100,692,31,235,95,17,6,7,7
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 19",8,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:09",926,919,1,5,1,392,386,0,5,1,374,18,1100,708,17,216,109,14,3,6,9
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 20",60,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:39",1679,1676,0,3,0,843,840,0,3,0,833,10,1900,1057,54,443,257,23,15,26,15
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",43,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:32:35",907,900,0,7,0,376,369,0,7,0,361,15,1000,624,32,194,102,15,1,5,12
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",42,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:53",922,915,2,5,0,360,355,0,5,0,349,11,1000,640,25,187,91,18,2,17,9
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",41,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:17",837,829,1,4,3,416,409,0,4,3,410,6,1000,584,19,217,134,25,3,3,9
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22",40,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:15",1121,1109,1,11,0,443,432,0,11,0,434,9,1200,757,34,238,103,15,8,18,18
7,BOTOŞANI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 23",25,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:24:03",1165,1149,1,15,0,456,441,0,15,0,437,19,1298,842,22,280,82,16,6,20,11
7,BOTOŞANI,"LICEUL „ALEXANDRU CEL BUN”",33,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:19",807,788,0,10,9,337,318,0,10,9,325,12,900,563,35,179,74,19,10,5,3
7,BOTOŞANI,"LICEUL „ALEXANDRU CEL BUN”",32,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:58",724,712,0,6,6,350,338,0,6,6,342,8,801,451,17,206,85,15,5,7,7
7,BOTOŞANI,"LICEUL „ALEXANDRU CEL BUN”",31,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:56:43",1324,1309,2,10,3,532,518,1,10,3,517,15,1400,868,43,312,120,15,2,15,10
7,BOTOŞANI,"LICEUL DE ARTĂ „ȘTEFAN LUCHIAN”",2,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:33",1217,1195,4,6,12,542,523,1,6,12,525,17,1300,758,26,294,150,27,5,7,16
7,BOTOŞANI,"LICEUL DE ARTĂ „ȘTEFAN LUCHIAN”",3,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:46:37",1329,1313,6,10,0,664,653,1,10,0,651,13,1494,830,27,379,188,23,4,9,21
7,BOTOŞANI,"LICEUL DE ARTĂ „ȘTEFAN LUCHIAN”",1,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:48:35",814,787,2,7,18,362,337,0,7,18,356,6,900,538,13,230,79,17,4,3,10
7,BOTOŞANI,"LICEUL „DIMITRIE NEGREANU”",71,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:40",1206,1203,0,3,0,515,512,0,3,0,508,7,1300,785,37,285,127,22,7,19,11
7,BOTOŞANI,"LICEUL „DIMITRIE NEGREANU”",72,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:01",1061,1055,0,6,0,452,446,0,6,0,446,6,1200,748,30,277,95,22,4,7,11
7,BOTOŞANI,"LICEUL „DIMITRIE NEGREANU”",70,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:13:51",1165,1158,3,4,0,532,528,0,4,0,519,13,1302,770,35,341,92,23,4,16,8
7,BOTOŞANI,"LICEUL PEDAGOGIC ”NICOLAE IORGA”",83,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:40:34",1302,1280,2,7,13,596,576,1,6,13,585,11,1400,804,30,287,194,31,3,14,26
7,BOTOŞANI,"LICEUL PEDAGOGIC ”NICOLAE IORGA”",84,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:37:18",1595,1585,2,7,1,651,643,0,7,1,631,20,1800,1149,41,402,134,20,6,17,11
7,BOTOŞANI,"LICEUL PEDAGOGIC ”NICOLAE IORGA”",85,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:27",1102,1086,4,5,7,477,465,0,5,7,465,12,1170,693,30,263,128,19,5,10,10
7,BOTOŞANI,"LICEUL TEHNOLOGIC „PETRU RAREȘ”",79,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:42:02",1003,993,0,8,2,445,436,0,8,1,439,6,1102,657,29,257,103,28,8,4,10
7,BOTOŞANI,"LICEUL TEHNOLOGIC „PETRU RAREȘ”",80,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:58",1284,1267,2,8,7,524,510,0,8,6,512,12,1400,876,38,282,133,27,6,10,16
7,BOTOŞANI,"LICEUL TEHNOLOGIC „PETRU RAREȘ”",78,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:34:21",1361,1353,0,7,1,511,503,0,7,1,499,12,1500,989,33,289,121,28,5,9,14
7,BOTOŞANI,"LICEUL TEORETIC „GRIGORE ANTIPA”",11,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:34",1538,1526,3,9,0,648,639,0,9,0,627,21,1700,1052,36,366,134,34,16,20,21
7,BOTOŞANI,"LICEUL TEORETIC „GRIGORE ANTIPA”",12,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:37",1301,1295,0,6,0,549,543,0,6,0,534,15,1397,848,32,325,127,20,9,8,13
7,BOTOŞANI,"LOCAL CLUBUL PENSIONARILOR",66,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 21:25:14",1038,1014,13,10,1,441,430,0,10,1,422,19,1200,759,19,156,216,13,6,9,3
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",46,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:06",958,958,0,0,0,356,356,0,0,0,345,11,1100,744,33,188,92,15,1,8,8
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",44,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:45",1203,1196,1,6,0,495,489,0,6,0,481,13,1300,806,26,278,125,30,3,8,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",47,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:50:19",1237,1229,1,7,0,516,509,0,7,0,503,13,1400,884,28,277,130,21,7,21,19
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „ELENA RAREȘ”",45,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:58",1308,1299,1,8,0,524,516,0,8,0,509,15,1400,876,34,311,115,20,6,17,6
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",76,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:05:25",1104,1095,3,6,0,442,435,1,6,0,429,13,1218,776,27,251,94,16,6,8,27
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",74,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:34",753,745,0,7,1,308,300,0,7,1,301,7,902,594,16,174,74,14,2,6,15
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",75,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:52:26",1141,1131,1,9,0,465,456,0,9,0,447,9,1200,744,21,297,83,19,3,13,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",77,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:05:13",724,718,0,6,0,308,302,0,6,0,295,13,819,511,20,171,63,11,5,9,16
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „GRIGORE ANTIPA”",73,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:33:00",915,907,0,8,0,349,341,0,8,0,335,14,1005,656,32,207,66,8,5,8,9
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 10",61,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:02",1270,1257,6,7,0,572,565,0,7,0,543,29,1400,828,25,306,147,38,2,11,14
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 10",62,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:50:22",1313,1306,0,7,0,580,573,0,7,0,562,18,1400,820,33,350,121,32,7,11,8
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 10",63,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:27:14",1313,1305,3,5,0,639,634,0,5,0,616,23,1400,761,29,353,186,20,7,10,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 11",48,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:53",1047,1036,4,7,0,444,437,0,7,0,433,11,1101,657,22,252,106,28,3,10,12
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 11",50,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:05",1121,1112,1,8,0,514,506,0,8,0,494,20,1200,686,16,264,159,25,7,9,14
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 11",51,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:05:55",977,969,3,5,0,406,401,0,5,0,393,13,1101,695,32,241,76,18,4,9,13
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 11",49,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:35",773,765,0,8,0,373,365,0,8,0,361,12,902,529,32,197,109,12,7,0,4
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 11",52,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:09",571,560,5,5,1,237,231,0,5,1,229,8,700,463,8,109,81,9,6,5,11
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 13",16,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:53",1250,1242,1,6,1,518,511,0,6,1,503,15,1398,880,34,303,111,27,6,13,9
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 13",17,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:58:44",1420,1415,0,5,0,552,547,0,5,0,536,16,1498,946,31,343,108,19,5,11,19
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 17",10,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:46",1382,1375,0,7,0,607,600,0,7,0,587,20,1497,890,39,367,122,26,3,10,20
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 2",55,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:00",1204,1199,0,5,0,429,424,0,5,0,411,18,1297,868,48,191,123,19,1,15,14
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 2",53,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:44",1124,1112,1,11,0,464,453,0,11,0,436,28,1200,736,43,174,182,14,6,12,5
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 2",56,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:33:02",1229,1225,2,2,0,423,421,0,2,0,417,6,1301,878,46,201,123,17,1,12,17
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 2",54,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:43:02",595,577,0,18,0,246,228,0,18,0,243,3,602,356,23,121,74,11,2,7,5
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 7",7,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:44",994,986,0,8,0,423,415,0,8,0,409,14,1098,675,18,252,91,24,7,7,10
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ NR. 7",6,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:43",1064,1053,4,7,0,435,428,0,7,0,420,15,1197,762,20,272,97,12,5,8,6
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTA MARIA”",14,"MUNICIPIUL BOTOŞANI",35731,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:52",1294,1287,0,7,0,482,475,0,7,0,465,17,1402,920,29,294,92,24,7,7,12
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ „SFÂNTA MARIA”",13,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:34:31",1356,1350,0,6,0,549,543,0,6,0,537,12,1300,751,37,337,109,22,2,9,21
