precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPOIU MARIAN-EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi","OPREA ALINA-NICOLETA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÎMPEANU PAUL-MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRA-ADAM RAIMOND-PARTIDUL VERDE-voturi","TUDORAN IULIAN-DUMITRU-PARTIDUL ECOLOGIST ROMÂN-voturi","CÎRSTEA CEZAR-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GRECEA MARIA-voturi"
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINTI",192,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:28",1191,1182,2,6,1,487,480,0,6,1,470,17,1300,813,38,22,310,17,24,30,29
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINŢI",190,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:11",1114,1107,0,7,0,450,443,0,7,0,415,35,1200,750,19,15,287,17,16,39,22
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINŢI",191,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:36:16",1075,1068,1,6,0,473,467,0,6,0,464,9,1200,727,25,20,336,5,14,47,17
8,BRAŞOV,"COLEGIUL TEHNIC SIMION MEHEDINŢI",189,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:55",960,943,1,4,12,366,350,0,4,12,347,19,1026,660,13,19,250,12,23,9,21
8,BRAŞOV,"GRADINITA NR.1",195,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:05",1353,1344,2,6,1,634,627,0,6,1,598,36,1500,866,54,22,382,24,39,57,20
8,BRAŞOV,"GRADINITA NR.1",194,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:01",1239,1228,7,4,0,598,594,0,4,0,578,20,1400,802,40,17,381,22,35,48,35
8,BRAŞOV,"GRADINITA NR.4",198,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:10",1206,1194,2,10,0,441,431,0,10,0,429,12,1300,859,19,30,313,11,18,22,16
8,BRAŞOV,"GRADINITA NR.4",199,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:57",1756,1745,4,7,0,854,847,0,7,0,832,22,1900,1046,87,38,551,24,26,56,50
8,BRAŞOV,"GRUP SCOLAR FORESTIER",196,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:06",1591,1577,9,5,0,724,717,2,5,0,701,23,1800,1076,72,19,444,29,19,94,24
8,BRAŞOV,"LICEUL TEORETIC",203,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:35",1274,1264,2,8,0,600,592,0,8,0,584,16,1400,800,65,24,339,11,14,110,21
8,BRAŞOV,"ŞCOALA DE ARTE SI MESERII",205,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:21",1512,1501,1,10,0,683,672,1,10,0,610,73,1696,1013,24,33,482,8,20,24,19
8,BRAŞOV,"ŞCOALA DE ARTE SI MESERII",204,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:30",1058,1043,7,8,0,529,521,0,8,0,521,8,1200,671,40,18,367,15,12,46,23
8,BRAŞOV,"ŞCOALA GENERALA NR.2",193,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:42",1094,1085,1,8,0,504,496,0,8,0,486,18,1200,696,24,28,354,24,21,24,11
8,BRAŞOV,"ŞCOALA GENERALA NR. 3",201,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:52:56",1286,1278,2,6,0,546,538,2,6,0,534,12,1400,842,32,23,359,26,24,37,33
8,BRAŞOV,"ŞCOALA GENERALA NR. 3",202,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:34:23",946,940,0,6,0,422,416,0,6,0,410,12,1000,578,24,16,294,4,26,22,24
8,BRAŞOV,"ŞCOALA GENERALA NR. 3",200,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:07",886,879,0,7,0,396,389,0,7,0,384,12,1000,604,20,16,273,16,11,15,33
8,BRAŞOV,"ŞCOALA GIMNAZIALA NR. 3",197,"MUNICIPIUL CODLEA",40241,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:52",1261,1237,2,14,8,497,475,0,14,8,477,13,1400,910,12,17,364,14,23,20,27
