precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PIETROI SORINA-ADRIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","BOTOROG DRAGOŞ-VIOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IGRIŞAN ALEXANDRU-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TIPEIU NICOLAE-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","STRÎMBEANU RADU-COSTINEL-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL TOHANUL NOU",295,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:59",1206,1194,3,3,6,677,668,0,3,6,662,15,1300,623,188,38,363,38,35
8,BRAŞOV,"CAMINUL CULTURAL TOHANUL VECHI",294,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:40",1745,1733,2,9,1,856,846,0,9,1,820,36,1900,1044,156,47,563,17,37
8,BRAŞOV,"CASA DE CULTURĂ",284,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:54",1289,1275,5,9,0,668,659,0,9,0,653,15,1400,732,220,25,335,45,28
8,BRAŞOV,"CLUBUL PENSIONARILOR",287,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:25",1161,1148,2,10,1,564,553,0,10,1,544,20,1300,736,154,28,284,33,45
8,BRAŞOV,"CLUBUL PENSIONARILOR - CARAIMAN",286,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:23",1324,1313,2,9,0,612,603,0,9,0,590,22,1500,888,179,30,277,44,60
8,BRAŞOV,"GRĂDINIŢA BOBOCEL",280,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:35",1315,1307,1,7,0,651,644,0,7,0,634,17,1500,849,107,44,402,31,50
8,BRAŞOV,"GRĂDINIŢA VOINICELUL NR. 2",285,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:13",1094,1086,0,8,0,540,532,0,8,0,525,15,1200,660,134,31,286,29,45
8,BRAŞOV,"LICEUL TEHNOLOGIC MALAXA",292,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:18:22",1003,996,2,5,0,416,411,0,5,0,402,14,1100,684,67,45,255,17,18
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP B",283,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:21",1586,1575,0,9,2,802,791,0,9,2,781,21,1700,898,173,74,464,39,31
8,BRAŞOV,"LICEUL TEORETIC M.I.MEŢIANU - CORP B",282,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:39:36",1353,1346,1,6,0,780,774,0,6,0,749,31,1500,720,205,38,427,35,44
8,BRAŞOV,"SALA DE SPORT A LICEULUI TEORETIC MITROPOLIT IOAN MEŢIANU",281,"ORAŞ ZĂRNEŞTI",40492,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:57:11",1347,1337,0,10,0,736,726,0,10,0,734,2,1500,764,189,34,447,30,34
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 GHEORGHE CRĂCIUN",290,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:33:03",1390,1384,2,3,1,656,652,0,3,1,637,19,1500,844,143,22,395,29,48
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1 GHEORGHE CRĂCIUN",289,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:17:37",1200,1193,1,5,1,551,545,0,5,1,527,24,1322,771,154,26,282,30,35
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ NR. 1 GHEORGHE CRĂCIUN",291,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:27",1367,1335,0,7,25,696,664,0,7,25,680,16,1500,804,163,26,410,22,59
8,BRAŞOV,"SCOALA GIMNAZIALA NR. 2",293,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:33",1698,1691,0,7,0,563,556,0,7,0,473,90,1900,1337,52,93,310,9,9
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 3 POMPILIU DAN-CORP A",288,"ORAŞ ZĂRNEŞTI",40492,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:54",1090,1075,4,10,1,563,551,1,10,1,548,15,1200,637,196,20,251,43,38
