precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÎRJAN SORIN-VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU ŞTEFAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PASCU FLORENTIN-MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","HOLBAN VIOREL-voturi"
10,BUZĂU,"CANTINA DE AJUTOR SOCIAL",96,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:12",1200,1195,0,5,0,539,534,0,5,0,516,23,1300,761,335,39,20,122
10,BUZĂU,"CENTRUL DE RECUPERARE PENTRU COPII CU DIZABILITĂŢI",81,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:27:51",1884,1874,5,5,0,842,837,0,5,0,807,35,2100,1258,551,40,36,180
10,BUZĂU,"COLEGIUL NAŢIONAL ”ALEXANDRU VLAHUŢĂ”",89,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:27",1043,1033,0,9,1,432,422,0,9,1,406,26,1100,668,257,17,46,86
10,BUZĂU,"COLEGIUL NAŢIONAL ”ALEXANDRU VLAHUŢĂ”",90,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:29:34",1220,1204,6,8,2,530,520,0,8,2,501,26,1300,773,302,20,31,148
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL ”ORIZONT”",86,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:36:32",1416,1406,0,10,0,652,642,0,10,0,626,26,1600,948,372,47,28,179
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPILĂRIEI”",92,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:35",1544,1539,1,4,0,715,711,0,4,0,692,23,1700,985,395,42,29,226
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPILĂRIEI”",93,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:10",1587,1585,0,2,0,675,673,0,2,0,652,23,1800,1125,419,32,37,164
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MUGURAŞII”",91,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:15",1360,1356,0,4,0,568,564,0,4,0,547,21,1500,932,318,34,22,173
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",100,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:16:15",1398,1389,2,7,0,609,602,0,7,0,595,14,1500,891,396,22,41,136
10,BUZĂU,"LICEUL ECONOMIC ”ELINA MATEI BASARAB”",101,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:37",1371,1363,0,8,0,592,584,0,8,0,570,22,1500,908,344,32,50,144
10,BUZĂU,"LICEUL TEHNOLOGIC ”VICTOR FRUNZĂ”",87,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:44:19",1648,1638,0,10,0,638,628,0,10,0,581,46,1800,1165,406,49,20,106
10,BUZĂU,"LICEUL TEHNOLOGIC ”VICTOR FRUNZĂ”",88,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:04:39",1325,1285,0,9,31,621,581,0,9,31,595,25,1470,850,367,39,40,149
10,BUZĂU,"LICEUL TEORETIC ”ŞTEFAN CEL MARE”",95,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:35",1221,1213,0,8,0,567,559,0,8,0,552,15,1300,733,334,38,31,149
10,BUZĂU,"ȘCOALA GIMNAZIALĂ DR. ILIE PAVEL",82,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:44",1815,1810,0,5,0,735,730,0,5,0,669,66,2000,1265,553,47,16,53
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 1",97,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:37:34",1105,1090,0,7,8,549,534,0,7,8,524,25,1200,651,334,24,34,132
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 2",98,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:30:03",1742,1719,1,7,15,785,762,1,7,15,749,31,1980,1200,480,47,36,186
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 6",94,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:33",1762,1751,3,7,1,831,823,0,7,1,804,27,1900,1069,506,76,48,174
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE CRISTOFOREANU”",85,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:35:36",1597,1592,0,5,0,744,739,0,5,0,731,13,1800,1056,449,39,60,183
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE CRISTOFOREANU”",84,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:58:20",1459,1450,0,9,0,584,575,0,9,0,564,18,1600,1018,361,33,36,134
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”VASILE CRISTOFOREANU”",83,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:17:14",1546,1538,0,6,2,717,709,0,6,2,684,31,1700,985,467,36,38,143
10,BUZĂU,"S.C. RAFINĂRIA VENUS OILREG S.A.",99,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:21:28",1888,1881,0,7,0,891,884,0,7,0,824,67,2100,1209,539,75,30,180
