precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BADEA-PETRE CARMEN-ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU SIMONA-ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU DENIS-EUGEN-PARTIDUL SOCIAL DEMOCRAT-voturi","POROJNICU ALEXANDRU-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMIN CULTURAL JOSENI",148,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:21",698,683,0,7,8,392,377,0,7,8,386,6,763,371,10,27,317,32
10,BUZĂU,"CĂMIN CULTURAL PÎCLE",149,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:50:18",118,110,0,8,0,57,49,0,8,0,55,2,121,62,8,4,24,19
10,BUZĂU,"CASA DE CULTURĂ BERCA-PARTER",145,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:39",1214,1206,0,7,1,652,644,0,7,1,642,10,1351,699,24,12,542,64
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL NITRARIA BERCA",146,BERCA,45101,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:37:28",925,919,0,5,1,453,447,0,5,1,446,7,1015,562,19,8,359,60
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL RĂTEŞTI",152,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:06:23",725,717,1,5,2,325,317,1,5,2,322,3,791,466,7,40,249,26
10,BUZĂU,"GRĂDINIŢA SĂTUC",153,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:04",555,548,0,6,1,291,284,0,6,1,287,4,605,314,15,13,236,23
10,BUZĂU,"LICEUL TEHNOLOGIC SF.MUCENIC SAVA, BERCA",147,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:36:56",644,636,0,4,4,335,327,0,4,4,330,5,716,381,12,19,225,74
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PLEȘCOI",150,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:16",817,809,1,3,4,416,409,0,3,4,406,3,892,483,11,11,332,52
10,BUZĂU,"ȘCOALA GIMNAZIALĂ PLEȘCOI",151,BERCA,45101,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:31:26",721,711,0,8,2,382,372,0,8,2,372,10,794,412,9,14,294,55
10,BUZĂU,"ŞCOALA PRIMARĂ VALEA NUCULUI",154,BERCA,45101,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:16:53",573,562,0,6,5,295,284,0,6,5,290,5,618,323,12,12,235,31
