precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂGĂCEAN VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","FECHETE VIOREL-SILVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRĂGAN IONEL-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","SZASZ CAROL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
13,CLUJ,"CLUBUL COPIILOR GHERLA",242,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:39:15",1400,1392,3,4,1,612,607,0,4,1,599,13,1577,965,57,68,377,97
13,CLUJ,"LICEUL TEORETIC ANA IPATESCU",235,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:28:55",1346,1331,3,6,6,624,612,0,6,6,609,14,1511,888,88,46,309,166
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",239,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:21",1356,1349,1,5,1,651,645,0,5,1,642,9,1517,866,118,57,321,146
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",238,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:11:14",1546,1519,5,5,17,716,694,0,5,17,697,19,1722,1006,90,51,397,159
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",240,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:25:09",1244,1240,3,1,0,598,597,0,1,0,582,16,1408,810,70,36,324,152
13,CLUJ,"LICEUL TEORETIC ANA IPĂTESCU",241,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:18:11",1332,1321,3,4,4,562,554,0,4,4,553,9,1499,937,89,33,310,121
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",234,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:06:27",1126,1120,1,4,1,515,510,0,4,1,498,17,1235,720,62,41,270,125
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",233,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:29",1219,1209,3,7,0,468,461,0,7,0,447,21,1362,894,76,58,226,87
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",231,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:42",1666,1649,2,7,8,777,762,0,7,8,750,27,1814,1037,97,72,395,186
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",230,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:38",1486,1478,2,4,2,643,637,0,4,2,623,20,1629,986,75,94,330,124
13,CLUJ,"LICEUL TEORETIC PETRU MAIOR GHERLA",232,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:06",1025,1016,0,4,5,459,450,0,4,5,448,11,1142,683,56,72,219,101
13,CLUJ,"SCOALA CLS. I - IV BAITA",243,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:41",402,387,0,11,4,174,163,0,7,4,167,7,427,253,28,11,85,43
13,CLUJ,"ŞCOALA CLS. I - IV HĂŞDATE",244,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:00:18",276,263,2,8,3,117,106,1,8,2,111,6,295,177,20,23,49,19
13,CLUJ,"ŞCOALA CLS. I - IV SILIVAŞ",245,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:28",154,143,0,8,3,60,49,0,8,3,56,4,157,97,8,6,31,11
13,CLUJ,"ŞCOALA GIMNAZIALĂ NR.1",237,"MUNICIPIUL GHERLA",55384,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:56",810,797,0,8,5,348,335,0,8,5,335,13,895,547,43,27,169,96
13,CLUJ,"ŞCOALA GIMNAZIALĂ NR.1",236,"MUNICIPIUL GHERLA",55384,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:36:06",1807,1795,6,4,2,805,799,0,4,2,788,17,2136,1331,110,80,392,206
