precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BELCE RAMONA-CRISTINA-PARTIDUL NAȚIONAL LIBERAL-voturi","FATI GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂCURAR RADU-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IUHOS ZSOLT-PARTIDUL NAȚIONAL VATRA ROMÂNEASCĂ-voturi","JURCA VALER-PARTIDUL S.O.S. ROMÂNIA-voturi","CSEREI PAUL-TIBERIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CRĂCIUNAŞ ILINCA-RAMONA-voturi"
13,CLUJ,"CĂMIN CULTURAL CORPADEA",312,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:33",354,340,0,9,5,186,172,0,9,5,180,6,375,189,30,85,9,1,6,19,30
13,CLUJ,"CĂMIN CULTURAL SÎNNICOARĂ",316,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:39",1195,1186,2,7,0,737,730,0,7,0,728,9,1306,569,235,254,50,0,5,86,98
13,CLUJ,"CĂMINUL CULTURAL DEZMIR",313,APAHIDA,55687,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:54:21",1385,1365,6,8,6,829,814,1,8,6,821,8,1497,668,333,198,27,9,8,139,107
13,CLUJ,"CĂMINUL CULTURAL DEZMIR",314,APAHIDA,55687,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:56:43",1218,1193,3,10,12,695,673,0,10,12,682,12,1313,611,287,175,19,2,5,106,88
13,CLUJ,"CĂMINUL CULTURAL SÂNNICOARĂ",317,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:57",1081,1070,1,10,0,593,583,0,10,0,583,10,1125,532,180,156,50,1,8,82,106
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",308,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:14:22",1972,1956,2,11,3,1052,1038,0,11,3,1026,26,2159,1107,305,328,31,2,11,119,230
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",307,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:58:41",1780,1758,5,17,0,985,968,0,17,0,964,21,1948,963,405,252,24,4,13,126,140
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",310,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:00:04",1957,1924,7,21,5,1090,1064,0,21,5,1061,29,2093,1003,403,284,31,2,9,134,198
13,CLUJ,"SALA SPORT LICEU TEHNOLOGIC ”ŞTEFAN PASCU”",309,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:50",1815,1802,5,8,0,957,949,0,8,0,936,21,1974,1017,309,250,23,0,10,193,151
13,CLUJ,"SEDIU PRIMARIE PATA",315,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:27",533,515,2,10,6,348,331,1,10,6,335,13,569,221,49,222,11,7,7,17,22
13,CLUJ,"SEDIU SECTOR PISCICOLA",311,APAHIDA,55687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:02",255,240,2,13,0,167,154,0,13,0,166,1,260,93,58,19,7,0,8,24,50
