precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZEGREA VASILICĂ-IONICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMÂNU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","DANU DANIEL-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BADESCU MARIUS-IOSIF-FORȚA DREPTEI-voturi","TORCEA VICTOR-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","AMARIEI VASILE-voturi","BILAV OVIDIU-voturi"
11,CARAŞ-SEVERIN,"CENTRUL DE AFACERI ANINA",93,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:12",814,793,1,11,9,364,343,1,11,9,352,12,878,514,6,153,86,36,33,3,35
11,CARAŞ-SEVERIN,"CENTRUL DE ZI ANINA",97,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:59",634,618,0,11,5,291,275,0,11,5,271,20,684,393,4,124,66,20,19,5,33
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 CELNIC",94,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:52",622,611,1,7,3,224,214,0,7,3,216,8,678,454,7,61,52,42,24,10,20
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR.4 SIGISMUND",99,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:01",550,538,1,7,4,198,187,0,7,4,186,12,603,405,5,72,31,23,18,13,24
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 STEIERDORF",101,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:55",564,551,1,9,3,230,218,0,9,3,222,8,606,376,11,87,43,31,17,3,30
11,CARAŞ-SEVERIN,"LICEUL ”MATHIAS HAMMER”",92,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:02",845,788,4,9,44,352,299,0,9,44,333,19,868,516,10,154,71,39,27,8,24
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR.1 CELNIC ( FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL NR. 2 ORAȘUL NOU)",96,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:46",605,595,0,9,1,200,190,0,9,1,193,7,658,458,5,59,78,11,22,5,13
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR.2 STEIERDORF",100,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:15",1080,1053,3,11,13,436,410,2,11,13,409,27,1053,617,10,151,123,21,21,11,72
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ NR.3 BRĂDET",102,"ORAŞ ANINA",50889,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:45:47",311,306,0,4,1,130,125,0,4,1,127,3,339,209,3,84,34,2,3,0,1
11,CARAŞ-SEVERIN,"SEDIUL DEPOZITUL FINAL CÂNTAR",98,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:28",615,589,8,10,8,258,240,0,10,8,246,11,650,392,9,98,67,18,10,3,41
11,CARAŞ-SEVERIN,"SEDIUL S.C. GOSTRANS S.A.",95,"ORAŞ ANINA",50889,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:42",494,482,0,10,2,202,190,0,10,2,194,8,535,333,8,67,65,30,5,1,18
