precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CREŢAN SERGIU-IONUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CISMĂNEANŢU GABRIEL-EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi","PASCU PATRICIU-MIREL-PARTIDUL SOCIAL DEMOCRAT-voturi","MARUŞCA ADELA-LIVIA-PARTIDUL S.O.S. ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BOCȘA",115,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:17",1438,1413,1,13,11,695,671,0,13,11,669,15,1558,874,27,183,412,47
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CONSTANTIN LUCACI” BOCSA",117,"ORAŞ BOCŞA",50969,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:35:20",1490,1478,0,6,6,602,590,0,6,6,588,13,1627,1025,55,163,342,28
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC „CONSTANTIN LUCACI” BOCȘA",118,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:30",1221,1214,2,3,2,485,480,0,3,2,467,18,1339,854,35,136,280,16
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",113,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:31",819,803,0,11,5,343,327,0,11,5,326,6,885,553,12,70,234,10
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",112,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:45",1074,1058,0,11,5,428,412,0,11,5,418,10,1165,737,23,78,299,18
11,CARAŞ-SEVERIN,"LICEUL TEORETIC TATA OANCEA",114,"ORAŞ BOCŞA",50969,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:37",1236,1205,1,11,19,507,476,1,11,19,490,17,1387,838,19,125,308,38
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1",119,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:21",1203,1185,1,9,8,488,472,0,9,7,457,24,1308,827,34,127,280,16
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR.1",110,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:17",1357,1319,3,9,26,500,464,1,9,26,478,22,1453,953,20,181,266,11
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 BOCŞA",108,"ORAŞ BOCŞA",50969,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:19:07",1331,1312,4,10,5,552,537,0,10,5,498,39,1451,914,17,121,342,18
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 BOCŞA",109,"ORAŞ BOCŞA",50969,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:47",1090,1072,1,9,8,460,446,0,9,5,439,16,1184,423,28,144,246,21
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 1 BOCŞA - SALA DE SPORT",111,"ORAŞ BOCŞA",50969,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:45",1313,1298,1,1,13,569,554,1,1,13,539,30,1431,832,37,175,300,27
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2 BOCŞA",116,"ORAŞ BOCŞA",50969,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:30:22",1355,1338,0,9,8,632,615,0,9,8,568,64,1473,841,7,314,243,4
