precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JIANU GIGEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CORCOAŢĂ EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOREGA COSTEL-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BÎZU-GHERGHINESCU MIHAI-MARCEL-PARTIDUL PRO ROMÂNIA-voturi","SLAPCIU AUREL-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CASA DE CULTURĂ MOTRU",61,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:38:48",1542,1521,2,17,2,725,706,0,17,2,712,13,1800,1075,333,31,321,11,16
20,GORJ,"COLEGIUL NAŢIONAL GEORGE COŞBUC MOTRU",62,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:28:21",1422,1402,3,15,2,602,585,0,15,2,593,9,1500,898,275,30,270,10,8
20,GORJ,"COLEGIUL TEHNIC MOTRU",60,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:57:38",902,891,3,7,1,464,456,0,7,1,439,25,1000,536,201,27,196,11,4
20,GORJ,"GRĂDINIŢA CATOLICĂ MOTRU",65,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:18:33",1471,1463,3,5,0,668,662,1,5,0,654,14,1700,1032,283,41,302,14,14
20,GORJ,"GRĂDINIŢA CREŞĂ NR.1 MOTRU",66,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:32:35",1582,1565,0,11,6,723,706,0,11,6,695,28,1800,1077,276,35,353,17,14
20,GORJ,"ŞCOALA GIMNAZIALĂ NR.1 MOTRU",63,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:33",1487,1475,1,9,2,682,671,0,9,2,668,14,1700,1018,300,28,307,17,16
20,GORJ,"ȘCOALA GIMNAZIALĂ NR. 1 MOTRU",68,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:19:04",1489,1480,0,9,0,676,667,0,9,0,651,25,1700,1024,285,49,284,15,18
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 2 MOTRU",59,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:12:10",1368,1348,0,18,2,635,615,0,18,2,593,24,1500,865,244,32,290,13,14
20,GORJ,"ŞCOALA HORĂŞTI",69,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:10:59",373,354,0,7,12,230,211,0,7,12,225,5,400,170,143,17,59,4,2
20,GORJ,"ŞCOALA LEURDA",70,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:57",614,609,0,5,0,344,339,0,5,0,336,8,800,456,174,16,141,2,3
20,GORJ,"ŞCOALA PRIMARĂ PLOŞTINA",71,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:11",971,964,0,6,1,578,571,0,6,1,567,11,1100,522,223,23,311,6,4
20,GORJ,"ŞCOALA PRIMARĂ ROŞIUŢA",73,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:33:07",432,423,0,9,0,281,272,0,9,0,269,7,545,267,97,12,153,5,2
20,GORJ,"ŞCOALA RÂPA",72,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:32",255,247,0,8,0,155,147,0,8,0,152,3,300,145,61,3,79,4,5
20,GORJ,"ȘCOALA SFÂNTUL IOAN",64,"MUNICIPIUL MOTRU",78141,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:52:54",1105,1097,1,6,1,471,464,0,6,1,463,8,1200,729,236,23,191,4,9
20,GORJ,"SEDIUL IMPOZITE ŞI TAXE LOCALE MOTRU",67,"MUNICIPIUL MOTRU",78141,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:49",1491,1478,2,10,1,709,698,0,10,1,684,25,1700,991,311,37,290,30,16
