precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTINESCU RODICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CRISTOFAN CLAUDIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","COSTIN LUCIAN-GRIGORE-PARTIDUL NAȚIONAL LIBERAL-voturi","GAVRIL CLAUDIU-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ONICĂ GABRIEL-FORȚA DREPTEI-voturi","COSTACHE CLAUDIU-MARIUS-PARTIDUL PRO ROMÂNIA-voturi","MARIN SIMONA-PARTIDUL S.O.S. ROMÂNIA-voturi","CÂCU ION-PARTIDUL CONSERVATOR DEMOCRAT-voturi","PINTILIE DĂNUŢ-voturi"
18,GALAŢI,"COLEGIUL NAŢIONAL CALISTRAT HOGAŞ",207,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:18",1919,1914,1,4,0,185,181,0,4,0,183,2,2130,1945,5,3,90,81,2,1,0,0,1
18,GALAŢI,"COLEGIUL NAŢIONAL CALISTRAT HOGAŞ",206,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:54:27",1925,1914,0,10,1,179,168,0,10,1,175,0,2120,1941,6,4,94,63,3,4,1,0,0
18,GALAŢI,"COLEGIUL NAŢIONAL CALISTRAT HOGAŞ",208,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:06:29",1930,1921,0,9,0,268,259,0,9,0,265,3,2150,1882,8,2,115,129,3,0,6,2,0
18,GALAŢI,"COLEGIUL NAŢIONAL DE AGRICULTURĂ ŞI ECONOMIE",190,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:44",1148,1139,0,7,2,540,531,0,7,2,538,2,1290,750,15,6,265,233,8,3,6,0,2
18,GALAŢI,"COLEGIUL NAŢIONAL DE AGRICULTURĂ ŞI ECONOMIE",189,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:40:00",931,925,0,5,1,364,358,0,5,1,356,8,1020,656,6,1,202,128,2,2,4,0,11
18,GALAŢI,"COLEGIUL NAŢIONAL SPIRU HARET",188,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:54",664,656,0,8,0,248,240,0,8,0,245,3,720,470,4,5,100,121,6,3,5,0,1
18,GALAŢI,"COLEGIUL NAŢIONAL SPIRU HARET",187,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:06:19",1161,1151,0,7,3,550,540,0,7,3,538,12,1270,720,12,13,263,226,5,7,10,0,2
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL ALEGRETO",201,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:35",945,934,3,8,0,385,376,1,8,0,371,14,1040,655,20,5,139,176,5,10,15,0,1
18,GALAŢI,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",209,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:06",770,766,0,4,0,276,272,0,4,0,270,6,860,494,8,2,125,120,5,3,3,2,2
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",192,"MUNICIPIUL TECUCI",75203,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:47",825,816,1,7,1,350,342,0,7,1,342,8,920,570,6,3,143,176,4,3,4,1,2
