precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÂINARU CODRUŢ-VICTOR-UNIUNEA SALVAȚI ROMÂNIA-voturi","ANGHELESCU ADRIAN-VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BARBU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","BRATU BOGDAN-LAURENTIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOBANU LILIANA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GUŞĂ GHEORGHE-BLOCUL SUVERANIST ROMÂN-voturi","ŞTEFAN NICU-PARTIDUL MIȘCAREA POPULARĂ-voturi","IANCU PETRE-ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi"
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:28:13",1744,1728,4,9,3,648,636,0,9,3,619,29,1902,1252,14,297,190,73,30,5,6,4
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:31:32",772,764,0,7,1,239,231,0,7,1,229,10,837,598,5,130,55,15,16,3,2,3
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:10",839,835,0,3,1,337,333,0,3,1,332,5,919,581,11,170,85,49,14,0,3,0
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:07:01",1471,1463,0,7,1,593,585,0,7,1,570,22,1608,993,20,311,153,30,51,0,4,1
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:43",1012,1000,6,6,0,440,433,1,6,0,433,7,1124,684,16,254,106,23,20,6,5,3
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:09",825,809,6,10,0,410,400,0,10,0,399,11,885,475,15,220,119,12,16,2,10,5
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:19",983,974,1,8,0,393,385,0,8,0,385,8,1071,678,17,178,135,37,15,0,3,0
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:59",1145,1137,0,8,0,476,468,0,8,0,455,21,1251,775,16,267,106,33,25,2,3,3
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:45:03",883,874,1,7,1,433,425,0,7,1,420,13,982,549,25,244,94,19,26,2,9,1
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:08:23",930,920,1,8,1,352,343,0,8,1,338,14,1013,649,10,167,101,25,26,4,2,3
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:50:08",1700,1693,0,6,1,804,797,0,6,1,775,26,1839,1038,16,457,193,56,35,5,8,5
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:00:22",888,878,1,8,1,297,287,1,8,1,276,11,966,679,9,125,83,29,16,1,9,4
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:29:58",968,955,0,11,2,337,324,0,11,2,318,19,1051,714,4,144,102,31,20,4,8,5
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:22:00",1196,1188,2,5,1,498,492,0,5,1,487,11,1308,810,28,242,129,43,31,4,5,5
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:35",1210,1201,0,8,1,406,397,0,8,1,383,23,1321,915,12,218,104,21,19,3,4,2
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:07",1360,1349,1,10,0,522,512,0,10,0,503,19,1483,961,16,240,149,57,33,0,6,2
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:35:59",1172,1160,3,6,3,440,431,0,6,3,427,13,1276,823,13,204,151,33,21,2,2,1
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:27",1067,1058,0,7,2,430,421,0,7,2,413,17,1185,755,14,197,111,49,28,1,9,4
19,GIURGIU,"PRIMĂRIA MUNICIPIULUI GIURGIU",3,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:05",1022,1014,1,7,0,394,387,0,7,0,376,18,1114,720,14,210,99,21,19,5,6,2
19,GIURGIU,"PUNCTUL TERMIC NR. 35",34,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:11",1115,1108,1,5,1,440,434,0,5,1,425,15,1220,780,19,203,136,34,28,0,4,1
19,GIURGIU,"PUNCTUL TERMIC NR.35",35,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:32:30",856,847,0,9,0,332,323,0,9,0,320,12,847,515,9,151,100,28,25,4,2,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",19,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:09:54",1112,1096,2,6,8,448,434,0,6,8,421,11,1306,800,11,163,180,30,32,1,3,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",22,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:40:52",951,948,0,3,0,397,394,0,3,0,384,13,1144,747,14,188,112,27,32,2,8,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",21,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:45:36",1183,1178,0,5,0,498,493,0,5,0,491,7,1353,855,17,233,153,28,44,3,5,8
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",20,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:48:08",1094,1089,1,4,0,449,445,0,4,0,430,15,1198,749,23,219,122,23,27,2,10,4
19,GIURGIU,"ȘCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",18,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:40",992,983,2,7,0,401,394,0,7,0,385,16,1179,778,18,177,103,16,63,0,5,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",17,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:21:50",1421,1413,3,5,0,541,536,0,5,0,526,15,1584,1043,18,289,133,30,51,0,5,0
19,GIURGIU,"ŞCOALA GIMNAZIALĂ MIHAI EMINESCU",47,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:28:35",1289,1281,0,6,2,554,546,0,6,2,528,26,1408,854,41,254,147,43,29,2,5,7
19,GIURGIU,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",48,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:42:17",1198,1190,3,4,1,490,485,0,4,1,465,16,1307,823,27,241,112,37,34,2,8,4
19,GIURGIU,"ŞCOALA GIMNAZIALĂ MIRCEA CEL BĂTRÂN",5,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:33",1170,1165,0,5,0,549,544,0,5,0,535,14,1305,756,22,284,148,43,32,3,2,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR,10",30,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:43",807,799,0,7,1,283,275,0,7,1,273,10,882,599,7,119,101,23,19,2,1,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.10",27,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:38",1019,1010,0,9,0,389,380,0,9,0,378,11,1115,726,7,175,147,25,14,6,2,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.10",26,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:01",1024,1005,8,7,4,380,369,0,7,4,370,10,1104,724,17,177,104,40,26,1,4,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.10",28,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:01:00",997,984,0,12,1,373,360,0,12,1,352,16,1122,751,9,156,112,28,34,1,5,7
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.10",29,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:10:17",1181,1172,1,7,1,461,453,0,7,1,435,19,1280,826,13,176,137,45,41,15,6,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.3",12,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:04:00",1247,1237,2,8,0,458,450,0,8,0,442,16,1360,901,11,208,136,44,36,2,4,1
