precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDESCU COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CAŢAN CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IACOB-RIDZI FLORIN-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","OANŢĂ MARCEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","FILIP-ENE EMANUEL-PARTIDUL S.O.S. ROMÂNIA-voturi","ROŞCA MIHAI-RADU-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","NIŢĂ DORINA-VERONICA-voturi","NICULESCU FLORIN-VLAD-DAN-voturi","POP LAURENŢIU-MIHAI-voturi"
22,HUNEDOARA,"AMFITEATRUL UNIVERSITĂȚII",143,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:28:49",1300,1289,2,9,0,454,445,0,9,0,434,20,1400,946,39,79,212,17,7,12,58,7,3
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",156,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:16:57",1392,1383,1,8,0,493,485,0,8,0,481,12,1500,1007,33,87,252,8,16,6,64,8,7
22,HUNEDOARA,"BIBLIOTECA MUNICIPALĂ PETROȘANI",157,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:53",1642,1615,0,3,24,544,517,0,3,24,519,25,1800,1256,32,104,264,9,19,2,72,9,8
22,HUNEDOARA,"CASA PENSIONARILOR",161,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:47:29",1398,1392,0,6,0,521,515,0,6,0,500,21,1600,1079,39,103,264,9,24,13,37,8,3
22,HUNEDOARA,"CASA PENSIONARILOR",162,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:27:44",1023,1016,0,7,0,378,371,0,7,0,364,14,1100,722,20,106,187,8,12,4,17,4,6
22,HUNEDOARA,"CLUB SPORTIV ȘCOLAR",144,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:02:55",937,924,0,12,1,391,378,0,12,1,384,6,1100,709,49,75,176,12,8,1,57,4,2
22,HUNEDOARA,"COLEGIUL ECONOMIC ”HERMES ”",150,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:21:21",1502,1412,0,55,35,585,543,0,10,32,573,12,1600,1015,41,153,258,24,11,13,65,6,2
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ ”CARMEN SYLVA” (GRĂDINIȚA CU PROGRAM NORMAL NR.5)",152,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:44",1361,1347,0,14,0,496,482,0,14,0,476,20,1500,1004,38,93,216,20,10,7,75,12,5
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ ”CARMEN SYLVA” (GRĂDINIȚA CU PROGRAM NORMAL NR.5)",151,"MUNICIPIUL PETROŞANI",86990,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:03",1360,1352,1,7,0,525,518,0,7,0,490,33,1500,975,35,87,225,20,8,3,99,5,8
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ CARMEN SYLVA (LICEUL DE INFORMATICĂ)",149,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:38",1286,1280,0,6,0,576,570,0,6,0,555,14,1500,931,46,105,240,32,21,14,89,5,3
