precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RESMERIŢĂ LUCIAN-MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUCU CRISTINA-VIORICA-PARTIDUL NAȚIONAL LIBERAL-voturi","GHERMAN DUMITRU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
22,HUNEDOARA,"CINEMATOGRAF CULTURAL LUPENI",117,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:00",1239,1230,1,8,0,500,492,0,8,0,465,35,1400,900,376,46,43
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 LUPENI",118,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:16",1471,1464,0,7,0,502,495,0,7,0,475,27,1600,1098,389,42,44
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 LUPENI",125,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:59",902,897,0,5,0,297,292,0,5,0,290,7,1000,703,218,46,26
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 LUPENI",124,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:19",921,917,0,4,0,355,351,0,4,0,346,9,1000,645,260,46,40
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 2 LUPENI",126,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:23",1180,1175,0,5,0,425,420,0,5,0,412,13,1300,875,324,48,40
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM NORMAL ŞCOALA GIMNAZIALĂ NR. 1",113,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:43",776,769,0,7,0,282,275,0,7,0,267,15,900,618,215,21,31
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM SĂPTĂMÂNAL LUMEA COPIILOR",119,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:53",1513,1508,0,5,0,615,610,0,5,0,583,32,1600,985,472,69,42
22,HUNEDOARA,"LICEUL TEORETIC ”MIRCEA ELIADE” LUPENI",120,"MUNICIPIUL LUPENI",87059,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:55:38",483,465,0,17,1,483,465,0,17,1,468,15,1500,859,373,51,44
22,HUNEDOARA,"LICEUL TEORETIC ”MIRCEA ELIADE” LUPENI",121,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:30",856,847,1,8,0,268,260,0,8,0,260,7,1000,733,198,29,33
22,HUNEDOARA,"PALATUL CULTURAL LUPENI",110,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:10",1518,1511,0,7,0,708,701,0,7,0,686,22,1700,992,550,70,66
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1",112,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:49",1002,995,0,7,0,377,370,0,7,0,357,20,1100,723,287,23,47
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 1",111,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:47",1257,1235,2,2,18,509,489,0,2,18,484,25,1300,791,394,53,37
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 LUPENI",123,"MUNICIPIUL LUPENI",87059,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:28:24",990,983,2,4,1,427,422,0,4,1,402,20,1100,678,323,50,29
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 2 LUPENI",122,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:39",1191,1186,0,5,0,459,454,0,5,0,438,21,1300,841,342,56,40
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 3",115,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:05",928,920,0,6,2,409,401,0,6,2,398,11,1000,591,322,48,28
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ NR. 3",116,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:39",907,901,1,5,0,345,340,0,5,0,328,17,1000,655,260,38,30
22,HUNEDOARA,"SC UNIVERSAL EDIL SA",127,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:32",817,806,0,11,0,311,300,0,11,0,297,14,900,589,233,39,25
22,HUNEDOARA,"SPCLEP LUPENI",114,"MUNICIPIUL LUPENI",87059,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:41",1533,1524,1,8,0,606,598,0,8,0,573,33,1710,1104,441,80,52
