precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MERIŞANU CRISTIAN-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","COSMA ALINA-NADIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","GOVOR VASILE-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARINESCU DAN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","HOLBAN LĂCRĂMIOARA-ŞTEFANIA-PARTIDUL S.O.S. ROMÂNIA-voturi","SURULESCU IOSIF-DAN-voturi","CAZAMIR ELENA-voturi"
22,HUNEDOARA,"CANTINA DE AJUTOR SOCIAL",169,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:35",1291,1286,0,5,0,524,519,0,5,0,502,22,1400,876,267,14,37,149,16,14,5
22,HUNEDOARA,"CLUBUL COPIILOR ȘI ELEVILOR",182,"MUNICIPIUL VULCAN",87175,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:28:45",1023,1013,1,9,0,446,437,0,9,0,430,16,1100,654,180,7,34,185,6,16,2
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM NORMAL DIN CADRUL ȘCOLII GIMNAZIALE NR. 6",179,"MUNICIPIUL VULCAN",87175,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:24:00",1226,1216,0,10,0,391,381,0,10,0,369,22,1300,903,192,6,39,113,12,6,1
22,HUNEDOARA,"GRĂDINIȚA PN+PP NR. 1",166,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:42",1131,1116,0,15,0,456,441,0,15,0,441,15,1300,844,201,8,42,148,12,25,5
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU” VULCAN",171,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:04",1004,995,1,8,0,394,386,0,8,0,384,10,1100,706,181,6,19,146,10,18,4
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”MIHAI VITEAZU” VULCAN",170,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:17",1004,994,1,9,0,362,353,0,9,0,355,7,1100,738,162,7,39,122,6,13,6
22,HUNEDOARA,"SALA DE SPORT",175,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:44:49",1378,1371,1,6,0,537,531,0,6,0,513,24,1500,963,185,12,45,238,11,13,9
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 3",184,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:39",1309,1307,0,1,1,614,612,0,1,1,601,13,1529,915,246,8,74,254,10,4,5
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 4",168,"MUNICIPIUL VULCAN",87175,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:04:19",972,965,1,6,0,390,384,0,6,0,375,15,1100,695,173,19,42,108,9,20,4
22,HUNEDOARA,"ȘCOALĂ GIMNAZIALĂ NR. 4",167,"MUNICIPIUL VULCAN",87175,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:51",975,968,1,6,0,374,368,0,6,0,355,19,1100,726,148,11,55,113,14,11,3
