precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎTCĂ MARCEL-LĂURENT-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MERLUŞCĂ ADRIAN-AURELIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU-GRUIA RĂZVAN-CIPRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL BRETEA STREIULUI",305,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:40:11",214,209,0,5,0,128,123,0,5,0,125,3,229,101,5,5,115
22,HUNEDOARA,"CĂMINUL CULTURAL COVRAGIU",306,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:37",128,124,0,3,1,79,75,0,3,1,75,4,148,69,7,4,64
22,HUNEDOARA,"CĂMINUL CULTURAL OCOLIȘU MARE",309,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:51:48",182,171,0,10,1,133,122,0,10,1,129,4,192,59,12,47,70
22,HUNEDOARA,"CĂMINUL CULTURAL RUȘI",311,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:51",134,128,0,6,0,134,128,0,6,0,128,6,214,80,28,16,84
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ BRETEA ROMÂNĂ",303,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:16:49",216,206,1,9,0,134,125,0,9,0,130,4,226,92,4,15,111
22,HUNEDOARA,"ȘCOALA PRIMARĂ BĂȚĂLAR",304,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:44:42",210,198,0,7,5,146,134,0,7,5,142,3,223,78,12,10,120
22,HUNEDOARA,"ȘCOALA PRIMARĂ GÂNȚAGA",307,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:36",228,223,0,5,0,156,151,0,5,0,151,5,243,87,14,3,134
22,HUNEDOARA,"ȘCOALA PRIMARĂ MĂCEU",308,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:24",267,263,0,4,0,169,165,0,4,0,158,11,283,114,16,16,126
22,HUNEDOARA,"ȘCOALA PRIMARĂ PLOPI",310,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:08:42",218,213,0,1,4,151,146,0,1,4,151,0,237,86,8,13,130
22,HUNEDOARA,"ȘCOALA PRIMARĂ VÂLCELE",312,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:03:51",220,202,0,8,10,177,159,0,8,10,175,2,234,57,6,1,168
22,HUNEDOARA,"ȘCOALA PRIMARĂ VÂLCELELE BUNE",313,"BRETEA ROMÂNĂ",88644,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:25",313,296,3,6,8,239,223,2,6,8,237,2,342,103,14,12,211
