precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUMITRESCU DAN-GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GRECU VALENTIN-PUIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUPULESCU GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢUNĂ EUGENIU-PARTIDUL S.O.S. ROMÂNIA-voturi","DESAGĂ TEODORA-ALEXANDRA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","IVAN AUREL-voturi","SCARLAT IONUŢ-CRISTIAN-voturi"
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",11,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:11:29",1577,1560,6,11,0,669,657,1,11,0,648,10,1700,1032,59,54,167,17,332,13,6
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",13,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:26",1655,1609,24,22,0,740,718,0,22,0,723,17,1750,1010,58,27,228,13,347,19,31
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 3",12,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:07:19",1639,1606,3,30,0,682,652,0,30,0,674,7,1700,1018,43,29,156,15,395,12,24
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",14,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:14",1406,1385,16,5,0,541,536,0,5,0,534,7,1500,959,43,33,192,13,235,8,10
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",18,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:59",1368,1349,6,13,0,527,514,0,13,0,519,8,1500,973,48,19,139,9,250,19,35
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",15,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:15",1534,1499,10,25,0,727,702,0,25,0,715,12,1700,973,47,25,231,12,364,11,25
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",17,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:40:26",1439,1411,5,23,0,679,656,0,23,0,673,6,1500,820,46,35,243,11,297,22,19
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 4",16,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:17:08",1559,1531,9,19,0,579,560,0,19,0,566,13,1700,1117,45,40,187,14,252,14,14
25,ILFOV,"SC ANYADE GYM CLASS SRL",9,"ORAŞ BRAGADIRU",179221,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:41",1538,1513,14,10,1,633,622,0,10,1,629,4,1650,1017,50,32,242,13,265,13,14
25,ILFOV,"SC ANYADE GYM CLASS SRL",8,"ORAŞ BRAGADIRU",179221,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:16:18",1632,1592,22,18,0,619,601,0,18,0,607,12,1800,1181,37,38,211,14,283,9,15
