precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IVAN MARIAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","STRÎMBEANU ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALEXA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GOGHIE CAROL-PARTIDUL PATRIOȚILOR-voturi"
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",78,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:43:28",1838,1826,1,11,0,733,722,0,11,0,691,37,1995,1267,524,94,65,8
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",79,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:03",1870,1867,0,3,0,722,719,0,3,0,692,30,2117,1395,486,101,80,25
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",76,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:12:39",1252,1236,10,6,0,507,501,0,6,0,487,0,1400,913,375,55,42,15
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",75,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:25",1378,1367,6,5,0,606,601,0,5,0,587,19,1500,894,472,60,38,17
25,ILFOV,"GRĂDINIŢA NR.1 PANTELIMON",77,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:25:32",1246,1240,0,6,0,522,516,0,6,0,514,6,1397,876,391,49,66,8
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",64,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:46:30",1691,1676,6,9,0,680,669,2,9,0,657,23,1900,1187,520,59,63,15
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",66,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:42:05",1856,1843,2,10,1,816,805,0,10,1,792,24,2000,1184,612,91,72,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",71,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:32",1519,1507,8,4,0,611,607,0,4,0,589,22,1700,1089,406,55,111,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",67,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:20",1882,1874,1,7,0,831,824,0,7,0,807,24,2050,1219,593,93,95,26
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",69,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:32",1508,1493,7,8,0,707,699,0,8,0,690,17,1650,943,558,45,69,18
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",65,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:18:16",1762,1750,0,12,0,762,750,0,12,0,745,17,1900,1138,505,74,151,15
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",72,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:05",1076,1063,5,8,0,480,472,0,8,0,469,11,1200,720,272,105,64,28
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",74,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:07",1782,1740,30,12,0,643,631,0,12,0,629,14,1900,1257,305,97,196,31
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",73,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:40",1524,1503,8,13,0,569,556,0,13,0,554,11,1605,1040,282,62,185,25
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",63,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:36",1567,1552,3,11,1,650,638,0,11,1,633,17,1700,1050,482,65,67,19
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",70,"ORAŞ PANTELIMON",179515,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:55",1558,1550,1,7,0,738,731,0,7,0,710,28,1700,962,599,63,31,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 PANTELIMON",68,"ORAŞ PANTELIMON",179515,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:26:33",1242,1236,0,6,0,528,522,0,6,0,507,21,1400,872,414,40,39,14
