precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRATU ANDREI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PANDELE FLORENTIN-COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GRUIA DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","LIFICIU EVA-ALEXANDRA-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","VÎRGĂ AURELIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NICULAE GHEORGHE-BOGDAN-PARTIDUL PATRIOȚILOR-voturi","NEAGU ANGEL-CRISTIAN-PARTIDUL REDUTA-RESPECT,EDUCAȚIE, DEMNITATE, UNITATE, TRADIȚIE, ADEVĂR-voturi","EREMIA FLORIN-BLOCUL SUVERANIST ROMÂN-voturi","ANDREI NINEL-FLORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BARBU BOGDAN-VIOREL-PARTIDUL ACUM-voturi","CILIBIU COSMIN-PARTIDUL S.O.S. ROMÂNIA-voturi","GOGORICI ROBERT-FLORIN-voturi"
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,914,20,2000,1066,45,689,29,22,70,3,1,5,1,15,20,14
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:03",1975,1959,0,16,0,650,634,0,16,0,641,9,2200,1550,50,176,75,66,231,4,1,2,8,4,9,15
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:32",1851,1781,37,22,11,961,928,0,22,11,939,22,2000,1039,47,683,24,23,65,3,2,4,6,11,29,42
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:50",1526,1505,0,21,0,864,843,0,21,0,840,24,1715,851,38,675,16,9,43,4,3,4,1,13,25,9
25,ILFOV,"SALA DE SPORT ”ANDREEA ISĂRESCU”",112,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:53",1872,1833,25,10,4,911,897,0,10,4,883,28,2100,1189,39,672,28,25,56,1,0,1,5,8,26,22
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",119,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:14",1897,1874,1,15,7,1062,1040,0,15,7,1026,36,2100,1038,45,811,19,17,55,4,3,3,8,5,34,22
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",116,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:09",1764,1720,0,31,13,1024,980,0,31,13,1000,24,2000,976,52,781,17,8,64,7,3,5,3,21,18,21
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",117,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:57:53",1706,1675,4,24,3,804,777,0,24,3,787,17,1900,1096,45,585,21,17,56,6,5,1,4,7,23,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",114,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:56",1532,1513,3,13,3,776,760,0,13,3,758,18,1700,924,33,570,9,16,68,10,2,6,3,9,21,11
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",113,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:32",1381,1348,13,15,5,698,678,0,15,5,689,9,1600,902,36,472,21,17,100,5,1,5,10,4,8,10
