precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOARE DRAGOŞ-PARTIDUL NAȚIONAL LIBERAL-voturi","RADU PAROŞ-MIHĂIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POTOR DĂNUŢ-ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","TĂNĂSESCU MIHAI-ANDREI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MUSGOCI NINA-PARTIDUL PATRIOȚILOR QANON-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BOANCĂ RODICA-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","BOCIOAGĂ IULIU-CIPRIAN-voturi"
23,IALOMIŢA,"AGENȚIA NAȚIONALĂ DE ÎMBUNĂTĂȚIRI FUNCIARE – FILIALA IALOMIȚA",18,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:36",1352,1337,1,13,1,601,587,0,13,1,589,12,1488,887,218,44,229,28,7,9,36,18
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:59",1295,1288,2,4,1,494,489,0,4,1,475,19,1450,956,135,43,212,29,5,10,21,20
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:11:54",1370,1365,1,4,0,614,610,0,4,0,591,23,1550,936,177,41,268,32,2,10,37,24
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:20:50",1131,1125,0,6,0,499,493,0,6,0,492,7,1246,747,168,37,202,20,7,12,29,17
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:19:25",933,927,0,6,0,364,358,0,6,0,353,11,1050,686,109,19,171,2,3,7,17,25
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:14",1280,1270,0,10,0,633,623,0,10,0,625,8,1449,816,202,40,265,36,6,7,40,29
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:14",1448,1439,1,8,0,694,686,0,8,0,680,14,1600,906,259,33,297,33,0,9,21,28
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:13",1372,1362,2,6,2,652,644,0,6,2,646,6,1413,761,268,41,237,26,1,13,33,27
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:30:36",1130,1121,0,8,1,466,457,0,8,1,458,8,1250,784,159,32,191,28,5,4,12,27
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:15:12",1791,1781,0,9,1,904,894,0,9,1,892,12,1942,1038,329,55,380,35,4,10,49,30
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:05",1052,1043,0,8,1,530,521,0,8,1,517,13,1138,608,212,21,208,35,2,7,15,17
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:31",965,955,2,8,0,491,483,0,8,0,480,11,1050,559,176,23,189,29,5,9,26,23
