precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DORIN VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","IONIŢĂ CORNELIU-PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","PAMFIL NECULAI-AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","SOFRONI ŞTEFAN-MĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CURMEI MARIAN-PARTIDUL PRO ROMÂNIA-voturi","POSTUDOR VIOLETA-MIHAELA-PARTIDUL POLUL SUVERANIST-voturi"
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",495,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:24",1681,1681,0,0,0,854,854,0,0,0,834,20,1800,946,17,91,609,44,39,34
24,IAŞI,"CĂMINUL CULTURAL HOLBOCA",496,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:09:46",1734,1720,2,10,2,899,887,0,10,2,880,19,1900,1001,21,88,637,53,43,38
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL CRISTEȘTI",497,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:44",645,636,0,9,0,263,254,0,9,0,250,13,700,437,9,36,155,30,14,6
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL DANCU",498,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:58",1304,1302,0,2,0,574,572,0,2,0,550,24,1400,826,24,126,353,34,7,6
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL DANCU",499,HOLBOCA,95159,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:42:50",1405,1398,2,5,0,600,593,2,5,0,567,19,1500,914,30,105,371,43,13,5
24,IAŞI,"SCAOALA VALEA LUNGA",506,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:17:13",297,288,1,8,0,143,135,0,8,0,139,4,365,222,6,12,99,18,3,1
24,IAŞI,"SCOALA CU CLASELE I-IV",504,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:36:46",352,344,1,7,0,174,167,0,7,0,169,5,400,226,2,17,115,27,4,4
24,IAŞI,"ȘCOALA GIMNAZIALĂ ” STEFAN CEL MARE” DANCU",500,HOLBOCA,95159,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:51:23",1234,1232,0,2,0,543,541,0,2,0,535,8,1400,857,17,128,342,26,10,12
24,IAŞI,"ȘCOALA GIMNAZIALĂ ” ȘTEFAN CEL MARE” DANCU",501,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:28",1484,1481,0,3,0,643,640,0,3,0,628,15,1600,957,36,117,403,45,19,8
24,IAŞI,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE” DANCU",502,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:10",1442,1436,0,6,0,598,592,0,6,0,575,23,1600,1002,18,127,357,61,9,3
24,IAŞI,"ȘCOALA PRIMARĂ RUSENII VECHI",505,HOLBOCA,95159,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:14:44",547,542,0,5,0,210,205,0,5,0,200,10,600,389,8,18,139,19,11,5
24,IAŞI,"SPAȚIU COMERCIAL PROPRIETATE GOLĂESCU MARIA",503,HOLBOCA,95159,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:51:23",614,607,1,6,0,273,267,0,6,0,264,9,700,427,7,38,194,19,3,3
