precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PINTILIE MARIUS-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","PANTAZI DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","DOGARU TIBERIU-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BERBECE PETRU-UNIUNEA SALVAȚI ROMÂNIA-voturi","RĂŢOI CRISTIAN-PARTIDUL PRO ROMÂNIA-voturi","ANCUŢA ŞTEFAN-VLADIMIR-PARTIDUL MIȘCAREA POPULARĂ-voturi","TEODORESCU FLORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",262,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:43:03",1161,1155,0,6,0,489,483,0,6,0,461,28,1300,811,310,88,17,10,27,5,4
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",263,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:02",1224,1220,1,3,0,531,528,0,3,0,515,16,1400,869,311,110,27,12,43,7,5
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",270,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:54",1908,1901,0,7,0,588,581,0,7,0,564,24,2100,1512,316,134,36,12,54,3,9
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",272,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-09 23:10:07",1788,1784,0,4,0,4,0,0,4,0,4,0,2000,1996,0,2,0,0,1,1,0
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",269,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:53:35",1624,1606,1,9,8,508,490,1,9,8,483,7,1800,1310,309,101,20,14,26,8,5
24,IAŞI,"COLEGIUL NAȚIONAL MIHAIL SADOVEANU",271,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,P,P_SV,"2024-06-09 23:36:59",1753,1748,0,5,0,5,0,0,5,0,5,0,1900,1895,1,3,1,0,0,0,0
24,IAŞI,"COLEGIU TEHNIC DE CAI FERATE UNIREA",276,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:59",1508,1501,0,7,0,630,623,0,7,0,599,31,1600,970,326,189,22,5,47,5,5
24,IAŞI,"COLEGIU TEHNIC DE CAI FERATE UNIREA",277,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:29:54",1071,1061,0,8,2,472,462,0,8,2,458,11,1200,728,275,128,20,4,20,9,2
24,IAŞI,"GRADINITA CU PROGRAM PRELUNGIT NR. 3",279,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:45:45",1171,1163,0,7,1,434,426,0,7,1,419,15,1300,864,217,123,21,3,47,7,1
24,IAŞI,"GRADINITA CU PROGRAM PRELUNGIT NR. 3",278,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:30:04",1009,1004,0,5,0,430,425,0,5,0,417,13,1100,670,228,126,18,4,31,9,1
24,IAŞI,"GRADINITA GISTESTI",287,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:25",1440,1412,0,7,21,672,644,0,7,21,650,19,1600,931,298,273,27,7,36,7,2
24,IAŞI,"GRADINITA NR. 1",265,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:08:41",1077,1067,0,8,2,455,445,0,8,2,431,14,1200,751,272,101,15,10,22,9,2
24,IAŞI,"GRADINITA VATRA",268,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:57:47",1415,1393,0,7,15,601,579,0,7,15,582,19,1600,999,291,175,34,13,58,9,2
24,IAŞI,"GRUP SCOLAR MIHAI BUSUIOC",283,"MUNICIPIUL PAŞCANI",95391,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:02",1053,1046,2,5,0,461,456,0,5,0,448,13,1100,639,243,124,14,14,47,6,0
24,IAŞI,"GRUP SCOLAR MIHAI BUSUIOC",282,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:48:42",1199,1190,0,8,1,501,492,0,8,1,490,11,1300,799,307,100,31,7,38,4,3
