precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIURA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLEA CONSTANTIN-TEODAT-PARTIDUL NAȚIONAL LIBERAL-voturi","LUCA REMUS-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"GRĂDINIŢA 2",81,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:52:24",1488,1454,0,24,10,836,802,0,24,10,765,37,1604,802,514,220,31
27,MEHEDINŢI,"GRĂDINIŢA VEST STREHAIA",83,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:30:34",1408,1345,3,19,41,865,805,0,19,41,836,29,1494,629,582,233,21
27,MEHEDINŢI,"LICEUL TEHNOLOGIC MATEI BASARAB",80,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:45:58",1718,1686,0,31,1,1009,977,0,31,1,983,26,1854,828,729,228,26
27,MEHEDINŢI,"ŞCOALA GENERALĂ CIOCHIUŢA",84,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:13:52",749,727,3,10,9,490,470,1,10,9,479,11,803,313,304,163,12
27,MEHEDINŢI,"ŞCOALA GENERALĂ COMANDA",85,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:35:43",1262,1240,1,15,6,682,661,0,15,6,641,34,1368,693,421,208,12
27,MEHEDINŢI,"ŞCOALA GENERALĂ HURDUCEŞTI",86,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:42:54",214,199,0,10,5,161,146,0,10,5,159,2,218,57,97,52,10
27,MEHEDINŢI,"ŞCOALA GENERALĂ LUNCA BANULUI",87,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:25:45",370,361,0,9,0,229,220,0,9,0,225,4,399,170,86,72,67
27,MEHEDINŢI,"ŞCOALA GENERALĂ SLĂTINICUL MARE",88,"ORAŞ STREHAIA",110116,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:02:07",268,250,0,16,2,189,171,0,16,2,184,5,278,89,152,23,9
27,MEHEDINŢI,"ŞCOALA GENERALĂ STĂNCEŞTI",89,"ORAŞ STREHAIA",110116,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:23:54",151,140,0,10,1,88,77,0,10,1,86,2,148,60,54,24,8
27,MEHEDINŢI,"ŞCOALA GENERALĂ STREHAIA",82,"ORAŞ STREHAIA",110116,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:17",1366,1335,1,23,7,767,737,0,23,7,733,34,1466,699,495,208,30
