precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÂNTU CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂLAŞ RADU-FLORIN-PARTIDUL OAMENILOR LIBERI-voturi","PESCAR RADU-MIRCEA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SOÓS ZOLTÁN-voturi","BACIU RODICA-voturi","POP COSMIN-ADRIAN-voturi","FLOREA DORIN-voturi","SUCIU HORAŢIU-voturi"
28,MUREŞ,"CASA ”APOLLO” (ŞCOALA DE ARTE)",1,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:08:50",1457,1293,148,14,2,542,526,0,14,2,532,10,1487,945,6,11,18,265,5,81,115,31
28,MUREŞ,"CENTRUL CULTURAL ”MIHAI EMINESCU”",31,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:38:06",916,747,118,21,30,462,411,0,21,30,447,15,1190,728,3,4,11,220,17,78,73,41
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",57,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:07:03",1458,1427,5,11,15,805,779,0,11,15,790,15,1590,785,6,11,18,386,14,105,210,40
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",58,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:05:21",1483,1453,3,8,19,607,580,0,8,19,491,116,1620,1013,80,10,31,145,14,37,149,25
28,MUREŞ,"COLEGIUL AGRICOL ”TRAIAN SAVULESCU”",13,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:44",1494,1457,12,14,11,784,758,1,14,11,769,15,1633,849,13,2,31,347,21,125,186,44
28,MUREŞ,"COLEGIUL NAŢIONAL ”UNIREA”",32,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:23:35",1662,1585,58,16,3,914,894,1,16,3,901,13,1770,856,10,11,27,423,27,155,138,110
28,MUREŞ,"FOSTUL LICEU TEHNOLOGIC ”EMIL A. DANDEA”",85,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:53",970,963,1,6,0,381,375,0,6,0,371,10,1080,699,9,1,12,79,19,51,182,18
28,MUREŞ,"FOSTUL LICEU TEHNOLOGIC ”EMIL A.DANDEA”",84,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:41:05",1268,1258,2,7,1,555,547,0,7,1,497,58,1400,845,29,17,34,197,20,41,141,18
28,MUREŞ,"GRĂDINIŢA CU PROG.PREL.”RÂNDUNICA”",77,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:03:10",1593,1582,0,11,0,760,749,0,11,0,736,24,1769,1009,15,5,18,345,20,61,233,39
28,MUREŞ,"GRĂDINIŢA CU PROGR.PREL.”CODRIŞOR”",52,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:50:01",1490,1481,0,9,0,800,791,0,9,0,784,16,1650,850,15,12,26,248,15,122,291,55
28,MUREŞ,"GRĂDINIȚA P.P. ”RAZĂ DE SOARE”",21,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:03:43",1193,1147,30,9,7,555,538,1,9,7,546,9,1290,735,4,5,9,315,12,71,96,34
28,MUREŞ,"GRĂDINIȚA P.P. ”RAZĂ DE SOARE”",22,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:07:14",1174,1156,4,9,5,639,625,0,9,5,623,14,1338,701,6,12,21,306,15,88,137,38
28,MUREŞ,"GRĂDINIŢA PROG.PREL.”ALBINUŢA”",65,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:26",1262,1247,1,13,1,644,630,0,13,1,635,9,1390,746,10,7,19,269,12,91,185,42
28,MUREŞ,"GRĂDINIŢA PROG.PREL.”LICURICI”",71,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:30:15",1194,1171,2,14,7,694,673,0,14,7,686,8,1310,616,2,6,32,366,8,86,148,38
28,MUREŞ,"GRĂDINIŢA PROG.PREL.”LICURICI”",70,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:00",1404,1392,1,6,5,797,786,0,6,5,767,30,1552,755,8,12,22,418,15,74,190,28
28,MUREŞ,"GRĂDINIŢA PROGR.PREL.NR.6",25,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:28",1278,1168,102,7,1,636,627,1,7,1,625,11,1320,684,10,9,13,234,15,132,134,78
28,MUREŞ,"INTERNAT LICEUL TEHNOLOGIC ”AVRAM IANCU”",4,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:03:18",1313,1257,33,11,12,635,612,0,11,12,618,17,1410,775,7,6,13,340,11,66,141,34
