precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TÜRK MICHAELA-PARTIDUL NAȚIONAL LIBERAL-voturi","GOGA LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","STUPARIU CĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","SÎRBU IOAN-IULIAN-ALIANȚA ELECTORALĂ UIPS - FORȚA DREPTEI-voturi","POPA FLORIN-ADRIAN-voturi"
28,MUREŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",115,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:09:49",1195,1188,0,7,0,492,485,0,7,0,483,9,1320,828,95,118,53,189,28
28,MUREŞ,"LICEUL TEHNOLOGIC NR. 2",111,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:16",899,877,4,11,7,368,349,1,11,7,356,12,1000,632,25,86,67,158,20
28,MUREŞ,"LICEUL TEHNOLOGIC NR. 2",110,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:40:47",1042,1030,10,2,0,392,389,1,2,0,384,8,1150,758,48,122,60,124,30
28,MUREŞ,"LICEUL TEORETIC ”JOSEPH HALTRICH”",114,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:03",1047,1027,11,6,3,352,343,0,6,3,338,14,1149,797,52,66,46,152,22
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AUREL MOSORA”",126,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:41:54",1346,1334,3,6,3,583,574,0,6,3,566,17,1470,886,78,154,75,234,25
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AUREL MOSORA”",127,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:47",1280,1267,8,3,2,546,540,1,3,2,527,19,1420,874,62,129,82,201,53
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIRON NEAGU”",113,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:35:57",1270,1258,6,6,0,478,470,2,6,0,467,11,1400,922,70,104,46,198,49
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIRON NEAGU”",112,"MUNICIPIUL SIGHIŞOARA",114514,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:14:37",1303,1291,5,7,0,454,446,1,7,0,434,20,1430,976,70,101,27,212,24
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ” NICOLAE IORGA ”",117,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:06",938,935,0,3,0,379,376,0,3,0,372,7,1040,661,63,83,44,138,44
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ” NICOLAE IORGA ”",119,"MUNICIPIUL SIGHIŞOARA",114514,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:07",1086,1081,0,5,0,368,363,0,5,0,355,13,1200,832,50,64,41,173,27
