precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RADU MIRCEA-PARTIDUL SOCIAL DEMOCRAT-voturi","OLASZ ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUS ADRIAN-VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","LUPU FLORIN-PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CAMIN CULTURAL BAND",248,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:44",1022,1013,1,8,0,506,497,1,8,0,440,66,1100,594,115,7,195,123
28,MUREŞ,"CĂMIN CULTURAL OROIU",255,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:08:38",236,228,0,8,0,123,115,0,8,0,115,8,250,127,52,6,54,3
28,MUREŞ,"CĂMINUL CULTURAL DRĂCULEA BANDULUI",250,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:39",95,89,0,6,0,46,40,0,6,0,45,1,100,54,14,13,17,1
28,MUREŞ,"GRĂDINIȚA CU PROGRAM NORMAL BAND",249,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:45",770,763,0,6,1,446,439,0,6,1,410,36,860,414,145,10,240,15
28,MUREŞ,"SALĂ FESTIVĂ ȚIPTELNIC",257,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:40:53",108,102,0,6,0,58,52,0,6,0,55,3,120,62,14,7,30,4
28,MUREŞ,"SALĂ ȘEDINȚĂ-PAROHIA REFORMATĂ NEGRENII DE CÂMPIE",254,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:20:13",107,97,0,10,0,59,49,0,10,0,53,6,110,51,14,19,19,1
28,MUREŞ,"ŞCOALA GIMNAZIALĂ FÂNAȚE",251,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:44",310,304,0,6,0,155,149,0,6,0,148,7,340,185,80,39,28,1
28,MUREŞ,"ŞCOALA PRIMARĂ FÂNAȚE",252,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:46:45",175,169,0,6,0,90,84,0,6,0,87,3,190,100,27,39,20,1
28,MUREŞ,"ȘCOALA PRIMARĂ MĂRĂȘEȘTI",253,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:27",263,255,0,7,1,167,159,0,7,1,166,1,280,113,57,29,79,1
28,MUREŞ,"ŞCOALA PRIMARĂ PETEA",256,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:18",165,159,0,6,0,87,81,0,6,0,83,4,181,94,44,6,32,1
28,MUREŞ,"ȘCOALA PRIMARĂ VALEA RECE",258,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:52:38",204,196,0,8,0,92,84,0,8,0,89,3,211,119,30,6,49,4
28,MUREŞ,"SCOALA PROFESIONALA BAND",246,BAND,115389,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:47:42",676,668,0,8,0,387,379,0,8,0,374,13,734,347,207,10,152,5
28,MUREŞ,"ȘCOALA PROFESIONALĂ BAND",247,BAND,115389,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:17:02",776,771,1,2,2,363,359,0,2,2,344,19,852,487,161,3,171,9
