precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HURLOIU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","RADU CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STOICA FLORIN-IRINEL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ILIE CRISTINA-MIHAELA-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","VÎŢĂ CRISTEA VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CONSTANTIN MARIUS-IOAN-ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ŞTEFĂNICĂ GABRIEL-TRAIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
31,PRAHOVA,"CASA DE CULTURA LILIESTI",193,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:34:56",1389,1352,7,7,23,743,713,0,7,23,717,26,1493,750,175,32,8,23,19,430,30
31,PRAHOVA,"CASA DE CULTURA TINTEA",196,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:24:16",988,982,1,4,1,570,565,0,4,1,554,16,1100,530,86,25,3,32,18,373,17
31,PRAHOVA,"CLUBUL ELEVILOR",186,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:59:31",1402,1392,2,8,0,775,766,1,8,0,757,18,1531,756,96,41,10,38,19,519,34
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL TUFENI",185,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:00:50",1195,1189,1,4,1,622,617,0,4,1,597,25,1307,685,94,26,11,18,9,418,21
31,PRAHOVA,"GRĂDINIŢA DÂMBU",194,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:24",1075,1070,0,5,0,589,584,0,5,0,564,25,1178,589,89,21,19,22,11,388,14
31,PRAHOVA,"GRADINITA LILIESTI",189,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:35:59",995,989,1,5,0,508,503,0,5,0,496,12,1087,579,66,16,14,15,18,349,18
31,PRAHOVA,"GRADINITA LILIESTI",190,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:22:03",1017,1003,0,13,1,576,562,0,13,1,552,21,1105,532,129,17,7,18,30,334,17
31,PRAHOVA,"GR. SC. C-TIN CANTACUZINO",188,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:18:25",1078,1070,0,6,2,553,545,0,6,2,534,14,1178,630,85,21,23,12,25,353,15
31,PRAHOVA,"GR. SC. C-TIN CANTACUZINO",187,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:43:01",1147,1141,1,4,1,586,580,1,4,1,564,22,1256,670,91,20,17,25,10,383,18
31,PRAHOVA,"SALA DE SPORT TINERETULUI",184,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:47:39",1042,1033,0,6,3,579,570,0,6,3,568,11,1140,561,106,22,51,6,27,345,11
31,PRAHOVA,"SCOALA GENERALA TINTEA",195,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:55",1267,1260,2,5,0,677,672,0,5,0,652,25,1386,709,106,21,16,27,22,443,17
31,PRAHOVA,"SCOALA NUMARUL 3 LILIESTI",191,"ORAŞ BĂICOI",130981,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:11",1367,1365,0,2,0,659,657,0,2,0,626,33,1511,852,77,22,20,21,11,450,25
31,PRAHOVA,"SCOALA NUMARUL 3 LILIESTI SALA NR. 2",192,"ORAŞ BĂICOI",130981,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:25",1540,1534,1,5,0,845,839,1,5,0,825,20,1688,843,169,29,23,30,20,514,40
