precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OPREA VLAD-GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ARIEŞAN AURORA-PARTIDUL SOCIAL DEMOCRAT-voturi","GIOGA FLORIN-voturi"
31,PRAHOVA,"CENTRU DE ZI PENTRU COPII ”ACUM AU NEVOIE DE NOI”",262,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:06:34",543,537,0,6,0,306,300,0,6,0,300,6,600,294,140,60,100
31,PRAHOVA,"CENTRUL CULTURAL ”CARMEN SYLVA”",261,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:56:13",500,482,2,12,4,292,276,0,12,4,265,11,528,252,128,47,90
31,PRAHOVA,"CENTRUL INTERNATIONAL DE CONFERINŢE CASINO",263,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:02",581,569,2,10,0,316,306,0,10,0,305,11,600,284,168,43,94
31,PRAHOVA,"CLUBUL SPORTIV CARPAŢI - SALA DE SPORT",258,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:43:39",768,744,0,17,7,435,411,0,17,7,427,8,800,365,233,78,116
31,PRAHOVA,"COLEGIUL ”MIHAIL CANTACUZINO” SALA AP.1",252,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:00:00",1518,1493,2,14,9,941,918,0,14,9,876,63,1600,661,471,194,211
31,PRAHOVA,"COLEGIUL ”MIHAIL CANTACUZINO” SALA AP.2",253,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:17:34",989,966,0,20,3,560,537,0,20,3,520,20,1100,560,302,108,110
31,PRAHOVA,"GRĂDINIȚA NR.2 CU PROGRAM NORMAL ”FLUTURAȘII”",254,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:10",736,723,0,9,4,416,403,0,9,4,403,13,800,384,193,103,107
31,PRAHOVA,"IMOBIL PROPRIETATE ORAS SINAIA",257,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:25",866,846,0,12,8,866,846,0,12,8,510,13,900,377,234,104,172
31,PRAHOVA,"ŞCOALA GIMNAZIALA ”GEORGE ENESCU” SALA 3 B",259,"ORAŞ SINAIA",131540,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:25:32",458,451,0,6,1,244,237,0,6,1,233,11,480,232,113,57,63
31,PRAHOVA,"ŞCOALA GIMNAZIALA ”GEORGE ENESCU” SALA I B",260,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:57",795,781,2,8,4,437,425,0,8,4,416,21,900,463,176,70,170
31,PRAHOVA,"SCOALA GIMNAZIALA ”PRINCIPESA MARIA”CORP A",255,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:21",644,625,0,13,6,387,368,0,13,6,371,16,712,325,143,102,126
31,PRAHOVA,"SCOALA GIMNAZIALA ”PRINCIPESA MARIA”CORP A",256,"ORAŞ SINAIA",131540,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:35",948,937,0,8,3,587,576,0,8,3,568,19,1100,513,261,116,191
