precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDULESCU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANTIN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","UNGUREANU MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢAGA CLAUDIU-ALIN-PARTIDUL PATRIOȚILOR-voturi","COSTACHE IRINEL-AUGUSTIN-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","FLOREA GHEORGHE-GABRIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
31,PRAHOVA,"CASA DE CULTURĂ (FOAIER)",277,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:53:38",1082,1063,0,9,10,611,592,0,9,10,594,17,1179,568,24,357,16,2,167,28
31,PRAHOVA,"CASA DE CULTURĂ (SALA MICĂ)",276,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:28:00",1342,1330,0,7,5,748,736,0,7,5,728,20,1500,752,32,432,22,20,187,35
31,PRAHOVA,"CENTRUL CULTURAL ”NICOLAE IORGA” VĂLENII DE MUNTE (BIBLIOTECA ORĂȘENEASCĂ ”MIRON RADU PARASCHIVESCU”)",275,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:09",970,961,1,7,1,499,491,0,7,1,490,9,1100,601,24,286,20,10,134,16
31,PRAHOVA,"CLUBUL COPIILOR",278,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:05",863,856,3,4,0,453,449,0,4,0,443,10,900,447,22,254,11,14,120,22
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",280,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:10",1424,1412,1,1,10,774,763,0,1,10,756,18,1576,802,29,439,34,11,212,31
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4",281,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:21",960,954,0,5,1,544,538,0,5,1,536,8,1000,456,31,345,8,6,127,19
31,PRAHOVA,"LICEUL TEHNOLOGIC AGROMONTAN ”ROMEO CONSTANTINESCU”",282,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:48:20",945,937,0,7,1,500,492,0,7,1,492,8,1000,500,27,295,14,4,139,13
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”INGINER GHEORGHE PĂNCULESCU”",279,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:35",1247,1242,1,4,0,675,671,0,4,0,659,16,1400,725,24,390,31,28,158,28
31,PRAHOVA,"ȘCOALA PRIMARĂ NR.2 (VALEA GARDULUI)",284,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:59:37",836,830,0,6,0,543,537,0,6,0,526,17,932,389,34,346,16,4,118,8
31,PRAHOVA,"ȘCOALA PRIMARĂ NR.4 (MIULEȘTI)",283,"ORAŞ VĂLENII DE MUNTE",131817,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:33",1247,1240,3,4,0,641,636,1,4,0,624,17,1300,659,40,305,22,10,195,52
