precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","HUJA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","GUŞE BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ORLĂŢAN MIRCEA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","WEISS WALTER-PARTIDUL S.O.S. ROMÂNIA-voturi","LEPŞA DUMITRU-VASILE-PARTIDUL VERDE-voturi","LAŢCU CONSTANTIN-LUCIAN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","VINTILĂ CORNEL-PARTIDUL PRO ROMÂNIA-voturi","ZÎMŢA ELENA-ANDREEA-voturi"
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",183,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:12",1380,1363,1,16,0,740,723,1,16,0,714,9,1490,52,39,51,24,484,9,19,3,5,80
34,SIBIU,"CASA DE CULTURĂ CISNĂDIE",182,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:26",1703,1674,19,10,0,706,696,0,10,0,686,20,1850,1144,66,232,35,163,17,41,4,35,93
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL CISNĂDIOARA",184,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:48:33",842,777,49,16,0,296,274,6,16,0,292,4,900,604,17,77,10,119,4,5,5,9,46
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",179,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:23:45",1618,1583,22,13,0,734,720,1,13,0,729,5,1740,1006,45,62,45,442,2,16,3,10,104
34,SIBIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",180,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:32:34",1674,1630,20,23,1,792,768,0,23,1,781,11,1820,1028,47,44,29,520,10,19,3,2,107
34,SIBIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",181,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:17:10",1426,1402,11,13,0,640,627,0,13,0,637,3,1570,930,31,45,36,391,17,15,4,5,93
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.6",172,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:03:37",1336,1331,0,5,0,549,544,0,5,0,539,10,1500,161,48,184,30,89,10,37,18,35,88
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.7",170,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:02:50",1635,1628,1,6,0,684,678,0,6,0,669,15,1754,1070,45,288,35,129,16,44,9,28,75
34,SIBIU,"LICEUL TEHNOLOGIC",175,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:21",1568,1545,13,10,0,667,656,1,10,0,658,9,1720,1053,67,221,37,124,19,32,8,25,125
34,SIBIU,"LICEUL TEHNOLOGIC CISNĂDIE",177,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:21",1114,1103,2,9,0,496,487,0,9,0,483,13,1220,724,36,180,25,101,9,32,2,38,60
34,SIBIU,"LICEUL TEHNOLOGIC CISNĂDIE",178,"ORAŞ CISNĂDIE",143735,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:17",1098,1081,9,8,0,470,461,1,8,0,457,13,1200,730,44,205,32,60,15,28,0,29,44
34,SIBIU,"LICEUL TEORETIC ”GUSTAV GUNDISCH” CISNĂDIE",174,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:45:15",1811,1801,3,6,1,761,753,1,6,1,740,18,1980,1220,68,313,43,73,28,52,8,45,110
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR. 2 CISNĂDIE",176,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:09:01",1825,1802,9,13,1,860,846,0,13,1,843,17,2000,1140,52,311,41,141,29,70,14,62,123
34,SIBIU,"ȘCOALA GIMNAZIALĂ NR. 3",171,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:11:30",1409,1399,0,10,0,609,599,0,10,0,593,16,1500,891,39,215,23,104,21,33,21,34,103
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.3 CISNĂDIE",173,"ORAŞ CISNĂDIE",143735,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:15:05",1577,1546,7,18,6,715,691,0,18,6,696,19,1750,1035,70,269,25,138,17,37,0,32,108
