precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIURGIU-KOVÁCS MONICA-SILVIA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BINDER EUGÉN-PARTIDUL SOCIAL DEMOCRAT-voturi","NEMEŞ GHIŢĂ-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","GANEA CONSTANTIN-FORȚA DREPTEI-voturi"
32,"SATU MARE","COLEGIUL TEHNIC ”IULIU MANIU”",76,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:01:18",1261,1254,2,4,1,601,596,0,4,1,586,13,1400,801,332,109,130,15
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL IANCULEŞTI",88,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:29:44",285,276,0,9,0,147,138,0,9,0,140,7,484,337,8,69,59,4
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.10",81,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:59",1784,1770,1,13,0,711,698,0,13,0,689,22,1900,1189,359,144,174,12
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.5",84,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:05",1929,1905,4,17,3,832,812,0,17,3,788,44,2100,1268,489,163,118,18
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.8",85,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:07:37",1367,1356,5,6,0,673,667,0,6,0,657,16,1500,827,373,156,112,16
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.9",80,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:52:25",1093,1085,1,7,0,477,470,0,7,0,468,9,1200,723,289,92,76,11
32,"SATU MARE","LICEUL ROMANO-CATOLIC”JOSEPHUS CALASANTIUS”",75,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:55:29",1570,1565,0,4,1,687,682,0,4,1,628,59,1700,569,358,171,64,35
32,"SATU MARE","LICEUL TEHNOLOGIC ”SIMION BĂRNUŢIU”",77,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:57:07",1533,1525,1,6,1,769,761,1,6,1,742,21,1695,932,535,91,101,15
32,"SATU MARE","LICEUL TEORETIC CAREI",83,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:29:03",1555,1540,2,12,1,581,567,1,12,1,558,21,1699,1120,339,114,81,24
32,"SATU MARE","MUZEUL MUNICIPAL CAREI",86,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:07:24",1942,1928,1,10,3,861,848,0,10,3,816,45,2097,1236,520,113,165,18
32,"SATU MARE","SCOALA GENERALA NR4",87,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:54",974,945,5,9,15,379,356,0,9,14,369,10,1101,722,227,70,56,16
32,"SATU MARE","ŞCOALA GIMNAZIALĂ NR.1",78,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 16:35:11",1492,1482,0,8,2,682,672,0,8,2,659,23,1601,919,408,115,120,16
32,"SATU MARE","ŞCOALA GIMNAZIALĂ NR.3",82,"MUNICIPIUL CAREI",136526,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:23",1498,1486,1,10,1,735,724,0,10,1,718,17,1601,866,332,184,181,21
32,"SATU MARE","ŞCOALA GIMNAZIALĂ ”VASILE LUCACIU” NR.2",79,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:23:57",1634,1622,3,8,1,687,678,0,8,1,662,21,1800,1117,369,128,144,21
