precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGURĂ MIHĂIŢĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","SIMION ALEXANDRU-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POSA ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","POPESCU NICOLAE-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CENTRALA TERMICĂ CU COGENERARE",68,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:28:40",1381,1373,2,5,1,649,643,0,5,1,634,15,1500,851,394,42,65,133
35,SUCEAVA,"CLUBUL COPIILOR ŞI ELEVILOR",71,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:37",1385,1379,2,4,0,530,526,0,4,0,515,15,1500,970,354,35,45,81
35,SUCEAVA,"CLUBUL COPIILOR ŞI ELEVILOR – SATUL DE VACANŢĂ",73,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:47:53",1638,1631,0,7,0,289,282,0,7,0,282,7,1800,1511,177,27,33,45
35,SUCEAVA,"COLEGIUL NAŢIONAL ”DRAGOŞ VODĂ”",70,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:50",1096,1085,0,9,2,437,426,0,9,2,419,18,1200,763,282,33,44,60
35,SUCEAVA,"COLEGIUL SILVIC ”BUCOVINA” (CORP A)",74,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:16",1453,1450,2,1,0,576,575,0,1,0,566,10,1600,1024,402,34,43,87
35,SUCEAVA,"COLEGIUL SILVIC ”BUCOVINA” (CORP B)",75,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:14",1384,1379,1,4,0,572,568,0,4,0,549,23,1500,928,379,33,39,98
35,SUCEAVA,"COLEGIUL SILVIC ”BUCOVINA” (CORP C)",76,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:37",1439,1433,2,3,1,646,642,0,3,1,623,23,1600,954,408,51,52,112
35,SUCEAVA,"GRĂDINIŢA NR. 4 „VALEA SEACĂ”",77,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:04",1267,1265,1,0,1,687,686,0,0,1,670,17,1400,713,461,41,52,116
35,SUCEAVA,"LICEUL TEHNOLOGIC NR. 1",67,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:45",850,841,1,7,1,350,342,0,7,1,344,6,1100,750,234,24,37,49
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”BOGDAN VODĂ”",72,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:47",1523,1514,2,5,2,620,613,0,5,2,605,15,1600,980,389,45,60,111
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „GEORGE VOEVIDCA” - CORP A",78,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:28",1019,1015,1,3,0,495,491,1,3,0,481,14,1100,605,289,26,44,122
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „GEORGE VOEVIDCA” - CORP B",79,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:13",1107,1103,1,3,0,510,507,0,3,0,500,10,1200,690,330,17,36,117
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „TEODOR ŞTEFANELLI”",69,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:34",1753,1753,0,0,0,353,353,0,0,0,344,9,1900,1547,217,28,48,51
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ „THEODOR DARIE”",66,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:29",1580,1576,4,0,0,758,757,1,0,0,739,19,1675,917,555,36,45,103
