precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION DRAGOŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","FURDUI LUCIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIE ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOTOC OCTAVIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANTON CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","SCARLAT VALENTIN-GEORGEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
38,TULCEA,"BIBLIOTECA JUDEŢEANĂ PANAIT CERNA",37,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:33",1291,1274,12,5,0,533,528,0,5,0,515,18,1404,871,163,45,229,44,25,9
38,TULCEA,"CASA DE CULTURĂ",43,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:12:31",497,492,0,5,0,184,179,0,5,0,172,7,553,374,54,23,65,18,7,5
38,TULCEA,"CASA DE CULTURĂ",42,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:10:48",1380,1363,0,17,0,611,594,0,17,0,597,14,1509,898,197,74,231,49,26,20
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",39,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:44",983,976,0,7,0,373,366,0,7,0,366,7,1079,706,135,59,114,19,32,7
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",38,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:12:08",1214,1202,6,6,0,476,470,0,6,0,463,13,1332,856,129,49,223,23,27,12
38,TULCEA,"COLEGIUL NAȚIONAL ”SPIRU HARET”",44,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:22:44",1712,1705,2,5,0,686,681,0,5,0,666,20,1918,1232,201,84,286,44,37,14
38,TULCEA,"GARAJE, SPAȚII DE DEPOZITARE ȘI BIROURI ALE CONSILIULUI JUDEȚEAN TULCEA",22,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:49",1712,1701,2,9,0,676,667,0,9,0,662,14,1905,1229,216,71,287,50,23,15
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT A LICEULUI TEHNOLOGIC AGRICOL ”NICOLAE CORNĂȚEANU”",40,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:55:20",1588,1583,5,0,0,691,691,0,0,0,674,17,1787,1096,201,69,275,51,52,26
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",14,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:36:32",1623,1617,0,6,0,682,676,0,6,0,676,6,1800,1118,251,53,283,51,21,17
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",6,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:21:01",1499,1491,2,6,0,520,514,0,6,0,508,12,1673,1153,191,59,180,36,28,14
