precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOBÂRNAT RADU-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢOCU CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIUPILAN IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BRÎNZĂ ANDREI-DAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","TRIFAN BOGDAN-PARTIDUL MIȘCAREA POPULARĂ-voturi","BUCUR IOAN-ANDREI-PARTIDUL PRO ROMÂNIA-voturi"
39,VASLUI,"CASA DE CULTURA ”ALEXANDRU GIUGARU”",143,"MUNICIPIUL HUŞI",161829,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:24",1585,1573,1,11,0,422,411,0,11,0,400,22,1845,1423,54,76,238,16,15,1
39,VASLUI,"CENTRUL COMUNITAR INTEGRAT HUȘI",134,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:10:14",1083,1075,1,6,1,374,367,0,6,1,357,17,1244,870,59,85,177,29,1,6
39,VASLUI,"CENTRUL CONSULTATIV HUȘI",136,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:37:53",1609,1588,1,20,0,579,559,0,20,0,556,23,1944,1365,86,77,335,29,19,10
39,VASLUI,"COLEGIUL AGRICOL ”DIMITRIE CANTEMIR”",139,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:33:14",1025,1025,0,0,0,371,371,0,0,0,362,9,1144,773,74,49,199,22,12,6
39,VASLUI,"COLEGIUL NAȚIONAL ”CUZA VODA”",137,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:52",1794,1788,0,6,0,356,350,0,6,0,351,5,2044,1688,52,56,204,19,14,6
39,VASLUI,"DIRECTIA AGRICOLA JUDETEANA VASLUI - UNITATEA FITOSANITARA HUSI",153,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:58:20",2095,2053,4,6,32,752,713,1,6,32,680,35,2343,1628,56,102,454,35,21,12
39,VASLUI,"LICEUL TEHNOLOGIC ”IOAN CORIVAN”",138,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:58:23",1833,1822,1,10,0,493,483,0,10,0,469,24,2044,1551,91,77,261,19,14,7
39,VASLUI,"SCOALA GIMNAZIALĂ ”ANASTASIE PANU”",142,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:23:23",1606,1595,0,11,0,580,569,0,11,0,557,22,1844,1265,94,76,330,24,15,18
39,VASLUI,"SCOALA GIMNAZIALĂ ”ANASTASIE PANU”",141,"MUNICIPIUL HUŞI",161829,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:13",1227,1221,0,5,1,312,306,0,5,1,288,24,1344,1023,49,47,158,14,9,11
39,VASLUI,"SCOALA GIMNAZIALĂ ”ANASTASIE PANU”",140,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:44:03",1331,1324,0,7,0,356,349,0,7,0,345,11,1500,1144,70,44,197,12,17,5
