precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILIŞANU CIPRIAN-MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BRAN ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","RUSU PETRU-CRISTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ROTARIU BOGDAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"CASA DE CULTURĂ",163,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:15:10",1409,1407,0,1,1,617,615,0,1,1,593,24,1600,983,25,105,394,69
39,VASLUI,"CASA DE CULTURĂ",162,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:39:47",1498,1492,0,6,0,659,653,0,6,0,644,15,1600,941,15,154,388,87
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 NEGREȘTI",165,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:16:13",878,867,1,4,6,384,374,0,4,6,362,22,1000,616,18,79,227,38
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SAT PARPANIȚA",169,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:30",473,464,0,7,2,249,240,0,7,2,240,9,500,251,34,59,126,21
39,VASLUI,"ŞCOALA GIMNAZIALĂ SAT VALEA MARE",171,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:38:13",329,322,0,5,2,329,322,0,5,2,321,8,700,371,14,48,244,15
39,VASLUI,"ŞCOALA PRIMARĂ SAT CĂZĂNEȘTI",166,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:33",330,323,0,7,0,165,158,0,7,0,160,5,400,235,7,50,94,9
39,VASLUI,"ŞCOALA PRIMARĂ SAT CIOATELE",167,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:36:25",295,289,0,5,1,155,149,0,5,1,146,7,300,147,14,15,104,13
39,VASLUI,"SCOALA PRIMARĂ SAT GLODENI",168,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:29:26",226,216,0,8,2,109,99,0,8,2,103,6,300,191,4,33,43,23
39,VASLUI,"ȘCOALA PRIMARĂ SAT POIANA",170,"ORAŞ NEGREŞTI",161856,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:03:13",201,200,0,0,1,103,102,0,0,1,96,7,300,197,8,32,49,7
39,VASLUI,"SERVICIUL PUBLIC DE ASISTENȚĂ SOCIALĂ NEGREȘTI",164,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:18:10",1968,1957,0,5,6,909,898,0,5,6,847,17,2009,1113,39,206,452,150
