precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIDICĂ GEORGE-RAUL-PARTIDUL NAȚIONAL LIBERAL-voturi","DRAGOTĂ-ZAMFIR ANA-MARIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IORGA ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHENU GEORGE-CANDIDAT INDEPENDENT-voturi"
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ” VLADIMIR STREINU”",95,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:56:15",1501,1477,1,20,3,850,827,0,20,3,839,11,1624,774,220,60,540,19
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”VLADIMIR STREINU”, CORP C",92,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:05:04",898,887,0,9,2,480,469,0,9,2,461,19,975,495,108,31,310,12
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”VLADIMIR STREINU”, CORP C",93,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:47:45",875,861,2,10,2,472,460,0,10,2,459,13,949,477,101,25,327,6
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ” DOCTOR CONSTANTIN ANGELESCU”",94,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:48:51",1161,1150,0,11,0,609,598,0,11,0,598,11,1265,656,124,26,391,57
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",102,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:46:37",1598,1571,1,20,6,872,846,0,20,6,849,23,1728,856,201,36,580,32
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",100,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:43:57",597,576,0,20,1,333,312,0,20,1,326,7,633,300,86,12,218,10
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",101,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:41:02",1171,1151,1,19,0,648,629,0,19,0,636,12,1266,618,174,25,422,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",99,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:03:39",1205,1185,0,18,2,641,621,0,18,2,625,16,1304,663,132,39,436,18
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",98,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:39:51",1065,1043,1,18,3,517,496,0,18,3,508,9,1147,630,124,25,345,14
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",97,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 21:52:23",776,763,0,11,2,383,370,0,11,2,377,6,839,456,80,25,257,15
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”ȘERBAN CIOCULESCU”",96,"ORAŞ GĂEŞTI",65681,1,PART,PRCNCT,P,P_SV,"2025-12-07 22:32:10",1236,1212,1,23,0,650,627,0,23,0,638,12,1333,683,161,30,431,16
