precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VUŞCAN VOICU-PARTIDUL SOCIAL DEMOCRAT-voturi","MATIEŞ CĂLIN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PLEŞA GABRIEL-CODRU-PARTIDUL NAȚIONAL LIBERAL-voturi","NANU DANA-ELISABETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LUDOŞAN DIANA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PĂDUREAN CĂLIN-LIVIU-PARTIDUL PHRALIPE AL ROMILOR-voturi"
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",1461,1451,3,0,7,1280,1273,3,0,4,1206,74,1959,679,172,467,15,178,109,265
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:12",2787,2777,2,6,2,2315,2308,1,4,2,1941,374,2921,606,716,35,238,196,284,472
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",2070,2048,7,10,5,2033,2018,5,8,2,1723,310,2096,63,446,347,263,280,76,311
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:13",2762,2736,10,10,6,2668,2646,10,7,5,2316,352,3169,501,642,59,320,153,1013,129
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",3535,3524,1,5,5,3395,3389,1,1,4,2763,632,3666,271,60,393,81,1545,645,39
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",2786,2770,7,2,7,2088,2077,7,0,4,1817,271,3239,1151,86,923,560,5,35,208
1,ALBA,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",7,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",1997,1978,4,6,9,1788,1780,1,0,7,1602,186,2272,484,243,115,27,852,282,83
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",11,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",2138,2129,2,4,3,1968,1965,0,1,2,1912,56,2385,417,84,262,263,20,1277,6
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",8,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:09",2071,2056,8,7,0,1414,1408,6,0,0,1381,33,2095,681,96,507,164,107,170,337
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",9,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,P,P_SV,"2024-05-29 10:29:10",3302,3286,9,0,7,3052,3046,0,0,6,2987,65,3474,422,541,233,973,64,605,571
